compound,amino_acid,acyl_n,category,formula,neutral_mass,adduct,target_mz
N-C7:0-leucine,leucine,7,short_medium_chain,C13H25N1O3,243.18344366899998,[M+Na]+,266.17266436899996
N-C6:0-glutamine,glutamine,6,short_medium_chain,C11H20N2O4,244.1423071368,[M+Na]+,267.1315278368
N-C7:0-asparagine,asparagine,7,short_medium_chain,C11H20N2O4,244.1423071368,[M+Na]+,267.1315278368
N-C4:0-arginine,arginine,4,short_medium_chain,C10H20N4O3,244.1535405251,[M+Na]+,267.1427612251
N-C6:0-lysine,lysine,6,short_medium_chain,C12H24N2O3,244.1786926423,[M+Na]+,267.1679133423
N-C5:0-phenylalanine,phenylalanine,5,short_medium_chain,C14H19N1O3,249.1364934776,[M+NH4]+,267.1703190304
N-C6:0-glutamate,glutamate,6,short_medium_chain,C11H19N1O5,245.12632272180002,[M+Na]+,268.1155434218
N-C7:0-aspartate,aspartate,7,short_medium_chain,C11H19N1O5,245.12632272180002,[M+Na]+,268.1155434218
N-C8:0-homoserine,homoserine,8,short_medium_chain,C12H23N1O4,245.1627082273,[M+Na]+,268.1519289273
N-C9:0-serine,serine,9,short_medium_chain,C12H23N1O4,245.1627082273,[M+Na]+,268.1519289273
N-C8:0-threonine,threonine,8,short_medium_chain,C12H23N1O4,245.1627082273,[M+Na]+,268.1519289273
N-C7:0-histidine,histidine,7,short_medium_chain,C13H21N3O3,267.1582915518,[M+H]+,268.1655680037
N-C4:0-tyrosine,tyrosine,4,short_medium_chain,C13H17N1O4,251.1157580359,[M+NH4]+,269.1495835887
N-C8:0-cysteine,cysteine,8,short_medium_chain,C11H21N1O3S1,247.1242142314,[M+Na]+,270.1134349314
N-C6:0-methionine,methionine,6,short_medium_chain,C11H21N1O3S1,247.1242142314,[M+Na]+,270.1134349314
N-C10:0-proline,proline,10,short_medium_chain,C15H27N1O3,269.1990937328,[M+H]+,270.2063701847
N-C6:0-histidine,histidine,6,short_medium_chain,C12H19N3O3,253.14264148799998,[M+NH4]+,271.1764670408
N-C5:0-phenylalanine,phenylalanine,5,short_medium_chain,C14H19N1O3,249.1364934776,[M+Na]+,272.1257141776
N-C9:0-isoleucine,isoleucine,9,short_medium_chain,C15H29N1O3,271.21474379660003,[M+H]+,272.22202024850003
N-C13:0-glycine,glycine,13,long_chain,C15H29N1O3,271.21474379660003,[M+H]+,272.22202024850003
N-C9:0-leucine,leucine,9,short_medium_chain,C15H29N1O3,271.21474379660003,[M+H]+,272.22202024850003
N-C12:0-alanine,alanine,12,long_chain,C15H29N1O3,271.21474379660003,[M+H]+,272.22202024850003
N-C10:0-valine,valine,10,short_medium_chain,C15H29N1O3,271.21474379660003,[M+H]+,272.22202024850003
N-C9:0-asparagine,asparagine,9,short_medium_chain,C13H24N2O4,272.1736072644,[M+H]+,273.1808837163
N-C8:0-glutamine,glutamine,8,short_medium_chain,C13H24N2O4,272.1736072644,[M+H]+,273.1808837163
N-C6:0-arginine,arginine,6,short_medium_chain,C12H24N4O3,272.1848406527,[M+H]+,273.1921171046
N-C9:0-proline,proline,9,short_medium_chain,C14H25N1O3,255.18344366899998,[M+NH4]+,273.2172692218
N-C8:0-lysine,lysine,8,short_medium_chain,C14H28N2O3,272.2099927699,[M+H]+,273.2172692218
N-C4:0-tyrosine,tyrosine,4,short_medium_chain,C13H17N1O4,251.1157580359,[M+Na]+,274.1049787359
N-C9:0-aspartate,aspartate,9,short_medium_chain,C13H23N1O5,273.1576228494,[M+H]+,274.1648993013
N-C8:0-glutamate,glutamate,8,short_medium_chain,C13H23N1O5,273.1576228494,[M+H]+,274.1648993013
N-C10:0-threonine,threonine,10,short_medium_chain,C14H27N1O4,273.1940083549,[M+H]+,274.2012848068
N-C10:0-homoserine,homoserine,10,short_medium_chain,C14H27N1O4,273.1940083549,[M+H]+,274.2012848068
N-C11:0-serine,serine,11,short_medium_chain,C14H27N1O4,273.1940083549,[M+H]+,274.2012848068
N-C4:0-tryptophan,tryptophan,4,short_medium_chain,C15H18N2O3,274.1317424509,[M+H]+,275.1390189028
N-C12:0-glycine,glycine,12,long_chain,C14H27N1O3,257.1990937328,[M+NH4]+,275.2329192856
N-C8:0-isoleucine,isoleucine,8,short_medium_chain,C14H27N1O3,257.1990937328,[M+NH4]+,275.2329192856
N-C8:0-leucine,leucine,8,short_medium_chain,C14H27N1O3,257.1990937328,[M+NH4]+,275.2329192856
N-C11:0-alanine,alanine,11,short_medium_chain,C14H27N1O3,257.1990937328,[M+NH4]+,275.2329192856
N-C9:0-valine,valine,9,short_medium_chain,C14H27N1O3,257.1990937328,[M+NH4]+,275.2329192856
N-C6:0-histidine,histidine,6,short_medium_chain,C12H19N3O3,253.14264148799998,[M+Na]+,276.13186218799996
N-C10:0-cysteine,cysteine,10,short_medium_chain,C13H25N1O3S1,275.155514359,[M+H]+,276.1627908109
N-C8:0-methionine,methionine,8,short_medium_chain,C13H25N1O3S1,275.155514359,[M+H]+,276.1627908109
N-C7:0-glutamine,glutamine,7,short_medium_chain,C12H22N2O4,258.15795720060004,[M+NH4]+,276.19178275340005
N-C8:0-asparagine,asparagine,8,short_medium_chain,C12H22N2O4,258.15795720060004,[M+NH4]+,276.19178275340005
N-C5:0-arginine,arginine,5,short_medium_chain,C11H22N4O3,258.1691905889,[M+NH4]+,276.2030161417
N-C7:0-lysine,lysine,7,short_medium_chain,C13H26N2O3,258.19434270610003,[M+NH4]+,276.22816825890004
N-C8:0-aspartate,aspartate,8,short_medium_chain,C12H21N1O5,259.1419727856,[M+NH4]+,277.1757983384
N-C7:0-glutamate,glutamate,7,short_medium_chain,C12H21N1O5,259.1419727856,[M+NH4]+,277.1757983384
N-C9:0-threonine,threonine,9,short_medium_chain,C13H25N1O4,259.1783582911,[M+NH4]+,277.2121838439
N-C10:0-serine,serine,10,short_medium_chain,C13H25N1O4,259.1783582911,[M+NH4]+,277.2121838439
N-C9:0-homoserine,homoserine,9,short_medium_chain,C13H25N1O4,259.1783582911,[M+NH4]+,277.2121838439
N-C9:0-proline,proline,9,short_medium_chain,C14H25N1O3,255.18344366899998,[M+Na]+,278.17266436899996
N-C7:0-phenylalanine,phenylalanine,7,short_medium_chain,C16H23N1O3,277.1677936052,[M+H]+,278.1750700571
N-C9:0-cysteine,cysteine,9,short_medium_chain,C12H23N1O3S1,261.13986429519997,[M+NH4]+,279.173689848
N-C7:0-methionine,methionine,7,short_medium_chain,C12H23N1O3S1,261.13986429519997,[M+NH4]+,279.173689848
N-C6:0-tyrosine,tyrosine,6,short_medium_chain,C15H21N1O4,279.1470581635,[M+H]+,280.1543346154
N-C8:0-leucine,leucine,8,short_medium_chain,C14H27N1O3,257.1990937328,[M+Na]+,280.1883144328
N-C12:0-glycine,glycine,12,long_chain,C14H27N1O3,257.1990937328,[M+Na]+,280.1883144328
N-C11:0-alanine,alanine,11,short_medium_chain,C14H27N1O3,257.1990937328,[M+Na]+,280.1883144328
N-C8:0-isoleucine,isoleucine,8,short_medium_chain,C14H27N1O3,257.1990937328,[M+Na]+,280.1883144328
N-C9:0-valine,valine,9,short_medium_chain,C14H27N1O3,257.1990937328,[M+Na]+,280.1883144328
N-C8:0-asparagine,asparagine,8,short_medium_chain,C12H22N2O4,258.15795720060004,[M+Na]+,281.1471779006
N-C7:0-glutamine,glutamine,7,short_medium_chain,C12H22N2O4,258.15795720060004,[M+Na]+,281.1471779006
N-C5:0-arginine,arginine,5,short_medium_chain,C11H22N4O3,258.1691905889,[M+Na]+,281.15841128889997
N-C7:0-lysine,lysine,7,short_medium_chain,C13H26N2O3,258.19434270610003,[M+Na]+,281.1835634061
N-C6:0-phenylalanine,phenylalanine,6,short_medium_chain,C15H21N1O3,263.1521435414,[M+NH4]+,281.1859690942
N-C8:0-aspartate,aspartate,8,short_medium_chain,C12H21N1O5,259.1419727856,[M+Na]+,282.13119348559997
N-C7:0-glutamate,glutamate,7,short_medium_chain,C12H21N1O5,259.1419727856,[M+Na]+,282.13119348559997
N-C9:0-threonine,threonine,9,short_medium_chain,C13H25N1O4,259.1783582911,[M+Na]+,282.16757899109996
N-C9:0-homoserine,homoserine,9,short_medium_chain,C13H25N1O4,259.1783582911,[M+Na]+,282.16757899109996
N-C10:0-serine,serine,10,short_medium_chain,C13H25N1O4,259.1783582911,[M+Na]+,282.16757899109996
N-C8:0-histidine,histidine,8,short_medium_chain,C14H23N3O3,281.1739416156,[M+H]+,282.18121806749997
N-C5:0-tyrosine,tyrosine,5,short_medium_chain,C14H19N1O4,265.1314080997,[M+NH4]+,283.16523365250004
N-C7:0-methionine,methionine,7,short_medium_chain,C12H23N1O3S1,261.13986429519997,[M+Na]+,284.12908499519995
N-C9:0-cysteine,cysteine,9,short_medium_chain,C12H23N1O3S1,261.13986429519997,[M+Na]+,284.12908499519995
N-C11:0-proline,proline,11,short_medium_chain,C16H29N1O3,283.21474379660003,[M+H]+,284.22202024850003
N-C7:0-histidine,histidine,7,short_medium_chain,C13H21N3O3,267.1582915518,[M+NH4]+,285.1921171046
N-C6:0-phenylalanine,phenylalanine,6,short_medium_chain,C15H21N1O3,263.1521435414,[M+Na]+,286.14136424139997
N-C14:0-glycine,glycine,14,long_chain,C16H31N1O3,285.2303938604,[M+H]+,286.2376703123
N-C13:0-alanine,alanine,13,long_chain,C16H31N1O3,285.2303938604,[M+H]+,286.2376703123
N-C11:0-valine,valine,11,short_medium_chain,C16H31N1O3,285.2303938604,[M+H]+,286.2376703123
N-C10:0-leucine,leucine,10,short_medium_chain,C16H31N1O3,285.2303938604,[M+H]+,286.2376703123
N-C10:0-isoleucine,isoleucine,10,short_medium_chain,C16H31N1O3,285.2303938604,[M+H]+,286.2376703123
N-C10:0-asparagine,asparagine,10,short_medium_chain,C14H26N2O4,286.18925732820003,[M+H]+,287.1965337801
N-C9:0-glutamine,glutamine,9,short_medium_chain,C14H26N2O4,286.18925732820003,[M+H]+,287.1965337801
N-C7:0-arginine,arginine,7,short_medium_chain,C13H26N4O3,286.2004907165,[M+H]+,287.2077671684
N-C9:0-lysine,lysine,9,short_medium_chain,C15H30N2O3,286.2256428337,[M+H]+,287.2329192856
N-C10:0-proline,proline,10,short_medium_chain,C15H27N1O3,269.1990937328,[M+NH4]+,287.2329192856
N-C5:0-tyrosine,tyrosine,5,short_medium_chain,C14H19N1O4,265.1314080997,[M+Na]+,288.1206287997
N-C9:0-glutamate,glutamate,9,short_medium_chain,C14H25N1O5,287.1732729132,[M+H]+,288.1805493651
N-C10:0-aspartate,aspartate,10,short_medium_chain,C14H25N1O5,287.1732729132,[M+H]+,288.1805493651
N-C11:0-homoserine,homoserine,11,short_medium_chain,C15H29N1O4,287.20965841870003,[M+H]+,288.2169348706
N-C12:0-serine,serine,12,long_chain,C15H29N1O4,287.20965841870003,[M+H]+,288.2169348706
N-C11:0-threonine,threonine,11,short_medium_chain,C15H29N1O4,287.20965841870003,[M+H]+,288.2169348706
N-C5:0-tryptophan,tryptophan,5,short_medium_chain,C16H20N2O3,288.1473925147,[M+H]+,289.1546689666
N-C12:0-alanine,alanine,12,long_chain,C15H29N1O3,271.21474379660003,[M+NH4]+,289.24856934940004
N-C13:0-glycine,glycine,13,long_chain,C15H29N1O3,271.21474379660003,[M+NH4]+,289.24856934940004
N-C9:0-isoleucine,isoleucine,9,short_medium_chain,C15H29N1O3,271.21474379660003,[M+NH4]+,289.24856934940004
N-C10:0-valine,valine,10,short_medium_chain,C15H29N1O3,271.21474379660003,[M+NH4]+,289.24856934940004
N-C9:0-leucine,leucine,9,short_medium_chain,C15H29N1O3,271.21474379660003,[M+NH4]+,289.24856934940004
N-C7:0-histidine,histidine,7,short_medium_chain,C13H21N3O3,267.1582915518,[M+Na]+,290.1475122518
N-C9:0-methionine,methionine,9,short_medium_chain,C14H27N1O3S1,289.1711644228,[M+H]+,290.1784408747
N-C11:0-cysteine,cysteine,11,short_medium_chain,C14H27N1O3S1,289.1711644228,[M+H]+,290.1784408747
N-C8:0-glutamine,glutamine,8,short_medium_chain,C13H24N2O4,272.1736072644,[M+NH4]+,290.2074328172
N-C9:0-asparagine,asparagine,9,short_medium_chain,C13H24N2O4,272.1736072644,[M+NH4]+,290.2074328172
N-C6:0-arginine,arginine,6,short_medium_chain,C12H24N4O3,272.1848406527,[M+NH4]+,290.2186662055
N-C8:0-lysine,lysine,8,short_medium_chain,C14H28N2O3,272.2099927699,[M+NH4]+,290.2438183227
N-C9:0-aspartate,aspartate,9,short_medium_chain,C13H23N1O5,273.1576228494,[M+NH4]+,291.1914484022
N-C8:0-glutamate,glutamate,8,short_medium_chain,C13H23N1O5,273.1576228494,[M+NH4]+,291.1914484022
N-C10:0-homoserine,homoserine,10,short_medium_chain,C14H27N1O4,273.1940083549,[M+NH4]+,291.2278339077
N-C10:0-threonine,threonine,10,short_medium_chain,C14H27N1O4,273.1940083549,[M+NH4]+,291.2278339077
N-C11:0-serine,serine,11,short_medium_chain,C14H27N1O4,273.1940083549,[M+NH4]+,291.2278339077
N-C4:0-tryptophan,tryptophan,4,short_medium_chain,C15H18N2O3,274.1317424509,[M+NH4]+,292.1655680037
N-C10:0-proline,proline,10,short_medium_chain,C15H27N1O3,269.1990937328,[M+Na]+,292.1883144328
N-C8:0-phenylalanine,phenylalanine,8,short_medium_chain,C17H25N1O3,291.183443669,[M+H]+,292.1907201209
N-C10:0-cysteine,cysteine,10,short_medium_chain,C13H25N1O3S1,275.155514359,[M+NH4]+,293.1893399118
N-C8:0-methionine,methionine,8,short_medium_chain,C13H25N1O3S1,275.155514359,[M+NH4]+,293.1893399118
N-C7:0-tyrosine,tyrosine,7,short_medium_chain,C16H23N1O4,293.1627082273,[M+H]+,294.1699846792
N-C12:0-alanine,alanine,12,long_chain,C15H29N1O3,271.21474379660003,[M+Na]+,294.2039644966
N-C9:0-leucine,leucine,9,short_medium_chain,C15H29N1O3,271.21474379660003,[M+Na]+,294.2039644966
N-C13:0-glycine,glycine,13,long_chain,C15H29N1O3,271.21474379660003,[M+Na]+,294.2039644966
N-C10:0-valine,valine,10,short_medium_chain,C15H29N1O3,271.21474379660003,[M+Na]+,294.2039644966
N-C9:0-isoleucine,isoleucine,9,short_medium_chain,C15H29N1O3,271.21474379660003,[M+Na]+,294.2039644966
N-C9:0-asparagine,asparagine,9,short_medium_chain,C13H24N2O4,272.1736072644,[M+Na]+,295.1628279644
N-C8:0-glutamine,glutamine,8,short_medium_chain,C13H24N2O4,272.1736072644,[M+Na]+,295.1628279644
N-C6:0-arginine,arginine,6,short_medium_chain,C12H24N4O3,272.1848406527,[M+Na]+,295.1740613527
N-C8:0-lysine,lysine,8,short_medium_chain,C14H28N2O3,272.2099927699,[M+Na]+,295.1992134699
N-C7:0-phenylalanine,phenylalanine,7,short_medium_chain,C16H23N1O3,277.1677936052,[M+NH4]+,295.201619158
N-C8:0-glutamate,glutamate,8,short_medium_chain,C13H23N1O5,273.1576228494,[M+Na]+,296.1468435494
N-C9:0-aspartate,aspartate,9,short_medium_chain,C13H23N1O5,273.1576228494,[M+Na]+,296.1468435494
N-C10:0-homoserine,homoserine,10,short_medium_chain,C14H27N1O4,273.1940083549,[M+Na]+,296.1832290549
N-C10:0-threonine,threonine,10,short_medium_chain,C14H27N1O4,273.1940083549,[M+Na]+,296.1832290549
N-C11:0-serine,serine,11,short_medium_chain,C14H27N1O4,273.1940083549,[M+Na]+,296.1832290549
N-C9:0-histidine,histidine,9,short_medium_chain,C15H25N3O3,295.1895916794,[M+H]+,296.1968681313
N-C4:0-tryptophan,tryptophan,4,short_medium_chain,C15H18N2O3,274.1317424509,[M+Na]+,297.12096315089997
N-C6:0-tyrosine,tyrosine,6,short_medium_chain,C15H21N1O4,279.1470581635,[M+NH4]+,297.1808837163
N-C10:0-cysteine,cysteine,10,short_medium_chain,C13H25N1O3S1,275.155514359,[M+Na]+,298.14473505899997
N-C8:0-methionine,methionine,8,short_medium_chain,C13H25N1O3S1,275.155514359,[M+Na]+,298.14473505899997
N-C12:0-proline,proline,12,long_chain,C17H31N1O3,297.2303938604,[M+H]+,298.2376703123
N-C8:0-histidine,histidine,8,short_medium_chain,C14H23N3O3,281.1739416156,[M+NH4]+,299.2077671684
N-C7:0-phenylalanine,phenylalanine,7,short_medium_chain,C16H23N1O3,277.1677936052,[M+Na]+,300.1570143052
N-C14:0-alanine,alanine,14,long_chain,C17H33N1O3,299.2460439242,[M+H]+,300.2533203761
N-C11:0-leucine,leucine,11,short_medium_chain,C17H33N1O3,299.2460439242,[M+H]+,300.2533203761
N-C11:0-isoleucine,isoleucine,11,short_medium_chain,C17H33N1O3,299.2460439242,[M+H]+,300.2533203761
N-C12:0-valine,valine,12,long_chain,C17H33N1O3,299.2460439242,[M+H]+,300.2533203761
N-C15:0-glycine,glycine,15,long_chain,C17H33N1O3,299.2460439242,[M+H]+,300.2533203761
N-C10:0-glutamine,glutamine,10,short_medium_chain,C15H28N2O4,300.204907392,[M+H]+,301.2121838439
N-C11:0-asparagine,asparagine,11,short_medium_chain,C15H28N2O4,300.204907392,[M+H]+,301.2121838439
N-C8:0-arginine,arginine,8,short_medium_chain,C14H28N4O3,300.2161407803,[M+H]+,301.2234172322
N-C10:0-lysine,lysine,10,short_medium_chain,C16H32N2O3,300.2412928975,[M+H]+,301.2485693494
N-C11:0-proline,proline,11,short_medium_chain,C16H29N1O3,283.21474379660003,[M+NH4]+,301.24856934940004
N-C6:0-tyrosine,tyrosine,6,short_medium_chain,C15H21N1O4,279.1470581635,[M+Na]+,302.13627886349997
N-C10:0-glutamate,glutamate,10,short_medium_chain,C15H27N1O5,301.188922977,[M+H]+,302.1961994289
N-C11:0-aspartate,aspartate,11,short_medium_chain,C15H27N1O5,301.188922977,[M+H]+,302.1961994289
N-C13:0-serine,serine,13,long_chain,C16H31N1O4,301.2253084825,[M+H]+,302.2325849344
N-C12:0-threonine,threonine,12,long_chain,C16H31N1O4,301.2253084825,[M+H]+,302.2325849344
N-C12:0-homoserine,homoserine,12,long_chain,C16H31N1O4,301.2253084825,[M+H]+,302.2325849344
N-C6:0-tryptophan,tryptophan,6,short_medium_chain,C17H22N2O3,302.16304257850004,[M+H]+,303.17031903040004
N-C10:0-isoleucine,isoleucine,10,short_medium_chain,C16H31N1O3,285.2303938604,[M+NH4]+,303.2642194132
N-C10:0-leucine,leucine,10,short_medium_chain,C16H31N1O3,285.2303938604,[M+NH4]+,303.2642194132
N-C13:0-alanine,alanine,13,long_chain,C16H31N1O3,285.2303938604,[M+NH4]+,303.2642194132
N-C14:0-glycine,glycine,14,long_chain,C16H31N1O3,285.2303938604,[M+NH4]+,303.2642194132
N-C11:0-valine,valine,11,short_medium_chain,C16H31N1O3,285.2303938604,[M+NH4]+,303.2642194132
N-C8:0-histidine,histidine,8,short_medium_chain,C14H23N3O3,281.1739416156,[M+Na]+,304.16316231559995
N-C10:0-methionine,methionine,10,short_medium_chain,C15H29N1O3S1,303.18681448660004,[M+H]+,304.19409093850004
N-C12:0-cysteine,cysteine,12,long_chain,C15H29N1O3S1,303.18681448660004,[M+H]+,304.19409093850004
N-C9:0-glutamine,glutamine,9,short_medium_chain,C14H26N2O4,286.18925732820003,[M+NH4]+,304.22308288100004
N-C10:0-asparagine,asparagine,10,short_medium_chain,C14H26N2O4,286.18925732820003,[M+NH4]+,304.22308288100004
N-C7:0-arginine,arginine,7,short_medium_chain,C13H26N4O3,286.2004907165,[M+NH4]+,304.2343162693
N-C9:0-lysine,lysine,9,short_medium_chain,C15H30N2O3,286.2256428337,[M+NH4]+,304.25946838650003
N-C10:0-aspartate,aspartate,10,short_medium_chain,C14H25N1O5,287.1732729132,[M+NH4]+,305.207098466
N-C9:0-glutamate,glutamate,9,short_medium_chain,C14H25N1O5,287.1732729132,[M+NH4]+,305.207098466
N-C12:0-serine,serine,12,long_chain,C15H29N1O4,287.20965841870003,[M+NH4]+,305.24348397150004
N-C11:0-homoserine,homoserine,11,short_medium_chain,C15H29N1O4,287.20965841870003,[M+NH4]+,305.24348397150004
N-C11:0-threonine,threonine,11,short_medium_chain,C15H29N1O4,287.20965841870003,[M+NH4]+,305.24348397150004
N-C5:0-tryptophan,tryptophan,5,short_medium_chain,C16H20N2O3,288.1473925147,[M+NH4]+,306.1812180675
N-C11:0-proline,proline,11,short_medium_chain,C16H29N1O3,283.21474379660003,[M+Na]+,306.2039644966
N-C9:0-phenylalanine,phenylalanine,9,short_medium_chain,C18H27N1O3,305.1990937328,[M+H]+,306.2063701847
N-C11:0-cysteine,cysteine,11,short_medium_chain,C14H27N1O3S1,289.1711644228,[M+NH4]+,307.20498997560003
N-C9:0-methionine,methionine,9,short_medium_chain,C14H27N1O3S1,289.1711644228,[M+NH4]+,307.20498997560003
N-C8:0-tyrosine,tyrosine,8,short_medium_chain,C17H25N1O4,307.1783582911,[M+H]+,308.185634743
N-C10:0-leucine,leucine,10,short_medium_chain,C16H31N1O3,285.2303938604,[M+Na]+,308.2196145604
N-C11:0-valine,valine,11,short_medium_chain,C16H31N1O3,285.2303938604,[M+Na]+,308.2196145604
N-C14:0-glycine,glycine,14,long_chain,C16H31N1O3,285.2303938604,[M+Na]+,308.2196145604
N-C13:0-alanine,alanine,13,long_chain,C16H31N1O3,285.2303938604,[M+Na]+,308.2196145604
N-C10:0-isoleucine,isoleucine,10,short_medium_chain,C16H31N1O3,285.2303938604,[M+Na]+,308.2196145604
N-C9:0-glutamine,glutamine,9,short_medium_chain,C14H26N2O4,286.18925732820003,[M+Na]+,309.1784780282
N-C10:0-asparagine,asparagine,10,short_medium_chain,C14H26N2O4,286.18925732820003,[M+Na]+,309.1784780282
N-C7:0-arginine,arginine,7,short_medium_chain,C13H26N4O3,286.2004907165,[M+Na]+,309.18971141649996
N-C9:0-lysine,lysine,9,short_medium_chain,C15H30N2O3,286.2256428337,[M+Na]+,309.2148635337
N-C8:0-phenylalanine,phenylalanine,8,short_medium_chain,C17H25N1O3,291.183443669,[M+NH4]+,309.2172692218
N-C10:0-aspartate,aspartate,10,short_medium_chain,C14H25N1O5,287.1732729132,[M+Na]+,310.16249361319996
N-C9:0-glutamate,glutamate,9,short_medium_chain,C14H25N1O5,287.1732729132,[M+Na]+,310.16249361319996
N-C12:0-serine,serine,12,long_chain,C15H29N1O4,287.20965841870003,[M+Na]+,310.1988791187
N-C11:0-threonine,threonine,11,short_medium_chain,C15H29N1O4,287.20965841870003,[M+Na]+,310.1988791187
N-C11:0-homoserine,homoserine,11,short_medium_chain,C15H29N1O4,287.20965841870003,[M+Na]+,310.1988791187
N-C10:0-histidine,histidine,10,short_medium_chain,C16H27N3O3,309.2052417432,[M+H]+,310.2125181951
N-C5:0-tryptophan,tryptophan,5,short_medium_chain,C16H20N2O3,288.1473925147,[M+Na]+,311.1366132147
N-C7:0-tyrosine,tyrosine,7,short_medium_chain,C16H23N1O4,293.1627082273,[M+NH4]+,311.1965337801
N-C11:0-cysteine,cysteine,11,short_medium_chain,C14H27N1O3S1,289.1711644228,[M+Na]+,312.1603851228
N-C9:0-methionine,methionine,9,short_medium_chain,C14H27N1O3S1,289.1711644228,[M+Na]+,312.1603851228
N-C13:0-proline,proline,13,long_chain,C18H33N1O3,311.24604392419997,[M+H]+,312.25332037609996
N-C9:0-histidine,histidine,9,short_medium_chain,C15H25N3O3,295.1895916794,[M+NH4]+,313.2234172322
N-C8:0-phenylalanine,phenylalanine,8,short_medium_chain,C17H25N1O3,291.183443669,[M+Na]+,314.17266436899996
N-C12:0-isoleucine,isoleucine,12,long_chain,C18H35N1O3,313.261693988,[M+H]+,314.2689704399
N-C12:0-leucine,leucine,12,long_chain,C18H35N1O3,313.261693988,[M+H]+,314.2689704399
N-C16:0-glycine,glycine,16,long_chain,C18H35N1O3,313.261693988,[M+H]+,314.2689704399
N-C15:0-alanine,alanine,15,long_chain,C18H35N1O3,313.261693988,[M+H]+,314.2689704399
N-C13:0-valine,valine,13,long_chain,C18H35N1O3,313.261693988,[M+H]+,314.2689704399
N-C12:0-asparagine,asparagine,12,long_chain,C16H30N2O4,314.2205574558,[M+H]+,315.2278339077
N-C11:0-glutamine,glutamine,11,short_medium_chain,C16H30N2O4,314.2205574558,[M+H]+,315.2278339077
N-C9:0-arginine,arginine,9,short_medium_chain,C15H30N4O3,314.2317908441,[M+H]+,315.239067296
N-C12:0-proline,proline,12,long_chain,C17H31N1O3,297.2303938604,[M+NH4]+,315.2642194132
N-C11:0-lysine,lysine,11,short_medium_chain,C17H34N2O3,314.2569429613,[M+H]+,315.2642194132
N-C7:0-tyrosine,tyrosine,7,short_medium_chain,C16H23N1O4,293.1627082273,[M+Na]+,316.1519289273
N-C12:0-aspartate,aspartate,12,long_chain,C16H29N1O5,315.2045730408,[M+H]+,316.2118494927
N-C11:0-glutamate,glutamate,11,short_medium_chain,C16H29N1O5,315.2045730408,[M+H]+,316.2118494927
N-C13:0-homoserine,homoserine,13,long_chain,C17H33N1O4,315.2409585463,[M+H]+,316.2482349982
N-C14:0-serine,serine,14,long_chain,C17H33N1O4,315.2409585463,[M+H]+,316.2482349982
N-C13:0-threonine,threonine,13,long_chain,C17H33N1O4,315.2409585463,[M+H]+,316.2482349982
N-C7:0-tryptophan,tryptophan,7,short_medium_chain,C18H24N2O3,316.1786926423,[M+H]+,317.1859690942
N-C14:0-alanine,alanine,14,long_chain,C17H33N1O3,299.2460439242,[M+NH4]+,317.27986947700003
N-C12:0-valine,valine,12,long_chain,C17H33N1O3,299.2460439242,[M+NH4]+,317.27986947700003
N-C11:0-leucine,leucine,11,short_medium_chain,C17H33N1O3,299.2460439242,[M+NH4]+,317.27986947700003
N-C15:0-glycine,glycine,15,long_chain,C17H33N1O3,299.2460439242,[M+NH4]+,317.27986947700003
N-C11:0-isoleucine,isoleucine,11,short_medium_chain,C17H33N1O3,299.2460439242,[M+NH4]+,317.27986947700003
N-C9:0-histidine,histidine,9,short_medium_chain,C15H25N3O3,295.1895916794,[M+Na]+,318.1788123794
N-C11:0-methionine,methionine,11,short_medium_chain,C16H31N1O3S1,317.2024645504,[M+H]+,318.2097410023
N-C13:0-cysteine,cysteine,13,long_chain,C16H31N1O3S1,317.2024645504,[M+H]+,318.2097410023
N-C11:0-asparagine,asparagine,11,short_medium_chain,C15H28N2O4,300.204907392,[M+NH4]+,318.2387329448
N-C10:0-glutamine,glutamine,10,short_medium_chain,C15H28N2O4,300.204907392,[M+NH4]+,318.2387329448
N-C8:0-arginine,arginine,8,short_medium_chain,C14H28N4O3,300.2161407803,[M+NH4]+,318.2499663331
N-C10:0-lysine,lysine,10,short_medium_chain,C16H32N2O3,300.2412928975,[M+NH4]+,318.2751184503
N-C10:0-glutamate,glutamate,10,short_medium_chain,C15H27N1O5,301.188922977,[M+NH4]+,319.2227485298
N-C11:0-aspartate,aspartate,11,short_medium_chain,C15H27N1O5,301.188922977,[M+NH4]+,319.2227485298
N-C13:0-serine,serine,13,long_chain,C16H31N1O4,301.2253084825,[M+NH4]+,319.2591340353
N-C12:0-threonine,threonine,12,long_chain,C16H31N1O4,301.2253084825,[M+NH4]+,319.2591340353
N-C12:0-homoserine,homoserine,12,long_chain,C16H31N1O4,301.2253084825,[M+NH4]+,319.2591340353
N-C6:0-tryptophan,tryptophan,6,short_medium_chain,C17H22N2O3,302.16304257850004,[M+NH4]+,320.19686813130005
N-C12:0-proline,proline,12,long_chain,C17H31N1O3,297.2303938604,[M+Na]+,320.2196145604
N-C10:0-phenylalanine,phenylalanine,10,short_medium_chain,C19H29N1O3,319.2147437966,[M+H]+,320.2220202485
N-C10:0-methionine,methionine,10,short_medium_chain,C15H29N1O3S1,303.18681448660004,[M+NH4]+,321.22064003940005
N-C12:0-cysteine,cysteine,12,long_chain,C15H29N1O3S1,303.18681448660004,[M+NH4]+,321.22064003940005
