compound,amino_acid,acyl_n,category,formula,adduct,target_mz,row_id,observed_mz,ppm_error,rt_min,has_ms2,is_isf,is_default_adduct,total_scans,dedup_group_id,is_group_representative,sirius_npc_class,sirius_structure_name,sirius_formula
N-C7:0-proline,proline,7,short_medium_chain,C12H21N1O3,[M+NH4]+,245.1859690942,29560,245.1854,-2.321071642556009,1.030727,True,False,True,14,asid_29560,True,Dipeptides,2-[(2-amino-1-hydroxy-4-methylpentylidene)amino]-3-methylpentanoic acid,C12H24N2O3
N-C6:0-lysine,lysine,6,short_medium_chain,C12H24N2O3,[M+H]+,245.1859690942,456,245.1855,-1.9132179616428904,0.811368,True,True,True,229,asid_4258,True,Dipeptides,2-[(2-amino-1-hydroxy-4-methylpentylidene)amino]-3-methylpentanoic acid,C12H24N2O3
N-C6:0-lysine,lysine,6,short_medium_chain,C12H24N2O3,[M+H]+,245.1859690942,536,245.1855,-1.9132179616428904,0.936817,True,True,True,263,asid_4125,True,Dipeptides,2-[(2-amino-1-hydroxy-4-methylpentylidene)amino]-3-methylpentanoic acid,C12H24N2O3
N-C6:0-lysine,lysine,6,short_medium_chain,C12H24N2O3,[M+H]+,245.1859690942,578,245.1855,-1.9132179616428904,0.62851,True,False,True,28,asid_578,True,Dipeptides,2-[(2-amino-1-hydroxy-4-methylpentylidene)amino]-3-methylpentanoic acid,C12H24N2O3
N-C6:0-lysine,lysine,6,short_medium_chain,C12H24N2O3,[M+H]+,245.1859690942,3721,245.1855,-1.9132179616428904,1.65934,True,True,True,45,asid_521,True,,,
N-C6:0-lysine,lysine,6,short_medium_chain,C12H24N2O3,[M+H]+,245.1859690942,3937,245.1853,-2.728925323353209,1.752,True,True,True,98,asid_7160,True,,,
N-C6:0-lysine,lysine,6,short_medium_chain,C12H24N2O3,[M+H]+,245.1859690942,29560,245.1854,-2.321071642556009,1.030727,True,False,True,14,asid_29560,True,Dipeptides,2-[(2-amino-1-hydroxy-4-methylpentylidene)amino]-3-methylpentanoic acid,C12H24N2O3
N-C8:0-threonine,threonine,8,short_medium_chain,C12H23N1O4,[M+H]+,246.16998467919998,5386,246.1694,-2.375103531612706,0.783667,True,False,True,53,asid_5386,True,Fatty acyl carnitines,O-Isovalerylcarnitine,C12H23NO4
N-C8:0-threonine,threonine,8,short_medium_chain,C12H23N1O4,[M+H]+,246.16998467919998,29962,246.1692,-3.187550265390068,3.325399,True,False,True,13,asid_29962,True,Aminoacids,"(2S)-3,4-dimethyl-2-[(2-methylpropan-2-yl)oxycarbonylamino]pentanoic acid",C12H23NO4
N-C9:0-serine,serine,9,short_medium_chain,C12H23N1O4,[M+H]+,246.16998467919998,5386,246.1694,-2.375103531612706,0.783667,True,False,True,53,asid_5386,True,Fatty acyl carnitines,O-Isovalerylcarnitine,C12H23NO4
N-C9:0-serine,serine,9,short_medium_chain,C12H23N1O4,[M+H]+,246.16998467919998,29962,246.1692,-3.187550265390068,3.325399,True,False,True,13,asid_29962,True,Aminoacids,"(2S)-3,4-dimethyl-2-[(2-methylpropan-2-yl)oxycarbonylamino]pentanoic acid",C12H23NO4
N-C8:0-homoserine,homoserine,8,short_medium_chain,C12H23N1O4,[M+H]+,246.16998467919998,5386,246.1694,-2.375103531612706,0.783667,True,False,True,53,asid_5386,True,Fatty acyl carnitines,O-Isovalerylcarnitine,C12H23NO4
N-C8:0-homoserine,homoserine,8,short_medium_chain,C12H23N1O4,[M+H]+,246.16998467919998,29962,246.1692,-3.187550265390068,3.325399,True,False,True,13,asid_29962,True,Aminoacids,"(2S)-3,4-dimethyl-2-[(2-methylpropan-2-yl)oxycarbonylamino]pentanoic acid",C12H23NO4
N-C7:0-threonine,threonine,7,short_medium_chain,C11H21N1O4,[M+NH4]+,249.1808837163,842,249.1844,14.111370212540328,5.143,True,False,True,33,asid_842,True,Simple phenolic acids,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-tritioethanone",C16H24O2
N-C7:0-homoserine,homoserine,7,short_medium_chain,C11H21N1O4,[M+NH4]+,249.1808837163,842,249.1844,14.111370212540328,5.143,True,False,True,33,asid_842,True,Simple phenolic acids,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-tritioethanone",C16H24O2
N-C8:0-serine,serine,8,short_medium_chain,C11H21N1O4,[M+NH4]+,249.1808837163,842,249.1844,14.111370212540328,5.143,True,False,True,33,asid_842,True,Simple phenolic acids,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-tritioethanone",C16H24O2
N-C7:0-proline,proline,7,short_medium_chain,C12H21N1O3,[M+Na]+,250.1413642414,10552,250.1367,-18.64642185091105,1.307662,True,False,True,13,asid_10552,True,,,
N-C7:0-cysteine,cysteine,7,short_medium_chain,C10H19N1O3S1,[M+NH4]+,251.14238972040002,5533,251.1442,7.208180196139324,0.539,True,False,False,17,asid_16477,True,,,
N-C7:0-cysteine,cysteine,7,short_medium_chain,C10H19N1O3S1,[M+NH4]+,251.14238972040002,10349,251.144,6.411819214509334,1.121147,True,False,False,36,asid_15779,False,,,
N-C5:0-methionine,methionine,5,short_medium_chain,C10H19N1O3S1,[M+NH4]+,251.14238972040002,5533,251.1442,7.208180196139324,0.539,True,False,False,17,asid_16477,True,,,
N-C5:0-methionine,methionine,5,short_medium_chain,C10H19N1O3S1,[M+NH4]+,251.14238972040002,10349,251.144,6.411819214509334,1.121147,True,False,False,36,asid_15779,False,,,
N-C4:0-tyrosine,tyrosine,4,short_medium_chain,C13H17N1O4,[M+H]+,252.1230344878,18910,252.1225,-2.119948306515602,1.046889,True,False,True,31,asid_18910,True,,,
N-C4:0-tyrosine,tyrosine,4,short_medium_chain,C13H17N1O4,[M+H]+,252.1230344878,26182,252.1225,-2.119948306515602,0.899384,True,False,True,15,asid_26182,True,,,
N-C4:0-tyrosine,tyrosine,4,short_medium_chain,C13H17N1O4,[M+H]+,252.1230344878,26662,252.1225,-2.119948306515602,0.89505,True,False,True,15,asid_26662,True,,,
N-C6:0-asparagine,asparagine,6,short_medium_chain,C10H18N2O4,[M+Na]+,253.115877773,32359,253.1174,6.0139530297449255,4.072382,True,False,True,9,asid_32359,True,Dipeptides,2-amino-3-[3-(2-amino-2-carboxyethyl)phenyl]propanoic acid,C12H16N2O4
N-C6:0-asparagine,asparagine,6,short_medium_chain,C10H18N2O4,[M+Na]+,253.115877773,52607,253.1173,5.618877063420118,3.956772,True,False,True,6,asid_52607,True,,,
N-C5:0-glutamine,glutamine,5,short_medium_chain,C10H18N2O4,[M+Na]+,253.115877773,32359,253.1174,6.0139530297449255,4.072382,True,False,True,9,asid_32359,True,Dipeptides,2-amino-3-[3-(2-amino-2-carboxyethyl)phenyl]propanoic acid,C12H16N2O4
N-C5:0-glutamine,glutamine,5,short_medium_chain,C10H18N2O4,[M+Na]+,253.115877773,52607,253.1173,5.618877063420118,3.956772,True,False,True,6,asid_52607,True,,,
N-C5:0-histidine,histidine,5,short_medium_chain,C11H17N3O3,[M+NH4]+,257.160816977,16857,257.1643,13.54414347000871,0.947807,True,False,True,71,asid_16857,True,,,
N-C4:0-phenylalanine,phenylalanine,4,short_medium_chain,C13H17N1O3,[M+Na]+,258.1100641138,3904,258.1095,-2.1855552277284755,0.534315,True,False,True,215,asid_3904,True,,,
N-C4:0-phenylalanine,phenylalanine,4,short_medium_chain,C13H17N1O3,[M+Na]+,258.1100641138,16133,258.109,-4.122713322519275,4.944,True,True,True,26,asid_8582,True,Glycerophosphocholines,"2-[2,3-bis(16O)(oxidanyl)propoxy-(16O)oxidanyl(31P)(31P)(16O)(31P)(16O)(16O)(31P)(16O)(16O)(16O)phosphoryl]oxyethyl-tri((112C)methyl)(14N)azanium",C8H20NO6P
N-C4:0-phenylalanine,phenylalanine,4,short_medium_chain,C13H17N1O3,[M+Na]+,258.1100641138,43101,258.1127,10.212256577787452,4.423,True,False,True,8,asid_43101,True,Imidazole alkaloids,"4-Amino-1-tert-butyl-3-(3-ethyl)pyrazolo[3,4-d]pyrimidine",C9H21O6S
N-C7:0-glutamine,glutamine,7,short_medium_chain,C12H22N2O4,[M+H]+,259.16523365250004,2442,259.169,14.532610901806851,5.064,True,True,True,29,asid_8222,True,,,
N-C7:0-glutamine,glutamine,7,short_medium_chain,C12H22N2O4,[M+H]+,259.16523365250004,3595,259.1646,-2.4449749339354723,0.906,True,False,True,46,asid_3595,True,Dipeptides,2-amino-6-(cyclopentyloxycarbonylamino)hexanoic Acid,C12H22N2O4
N-C7:0-glutamine,glutamine,7,short_medium_chain,C12H22N2O4,[M+H]+,259.16523365250004,8755,259.1685,12.603339784143754,5.609,True,True,True,121,asid_18281,True,Chalcones,"4-hydroxy-3,5-bis(3-methylbut-2-en-1-yl)benzaldehyde",C17H22O2
N-C7:0-glutamine,glutamine,7,short_medium_chain,C12H22N2O4,[M+H]+,259.16523365250004,13744,259.1685,12.603339784143754,4.555135,True,True,True,14,asid_235,False,,,
N-C7:0-glutamine,glutamine,7,short_medium_chain,C12H22N2O4,[M+H]+,259.16523365250004,23461,259.1683,11.831631337034649,5.970813,True,True,True,27,asid_6338,True,,,
N-C7:0-glutamine,glutamine,7,short_medium_chain,C12H22N2O4,[M+H]+,259.16523365250004,30278,259.1689,14.146756678361966,4.175549,True,False,True,6,asid_30278,True,Pinane monoterpenoids,"({3-[(Tert-butoxy)carbonyl]-2,2-dimethyl-1,3-oxazolidin-4-yl}methyl)boronic acid",C11H22BNO5
N-C7:0-glutamine,glutamine,7,short_medium_chain,C12H22N2O4,[M+H]+,259.16523365250004,34196,259.1683,11.831631337034649,5.199,True,False,False,10,asid_974,False,Aminoacids,"({3-[(Tert-butoxy)carbonyl]-2,2-dimethyl-1,3-oxazolidin-4-yl}methyl)boronic acid",C7H18BN7O3
N-C7:0-glutamine,glutamine,7,short_medium_chain,C12H22N2O4,[M+H]+,259.16523365250004,42242,259.1684,12.217485560698869,6.214238,True,True,True,8,asid_15530,True,,,
N-C7:0-glutamine,glutamine,7,short_medium_chain,C12H22N2O4,[M+H]+,259.16523365250004,44520,259.1683,11.831631337034649,5.312105,True,False,True,26,asid_44520,True,Chalcones,"4-hydroxy-3,5-bis(3-methylbut-2-en-1-yl)benzaldehyde",C17H22O2
N-C8:0-asparagine,asparagine,8,short_medium_chain,C12H22N2O4,[M+H]+,259.16523365250004,2442,259.169,14.532610901806851,5.064,True,True,True,29,asid_8222,True,,,
N-C8:0-asparagine,asparagine,8,short_medium_chain,C12H22N2O4,[M+H]+,259.16523365250004,3595,259.1646,-2.4449749339354723,0.906,True,False,True,46,asid_3595,True,Dipeptides,2-amino-6-(cyclopentyloxycarbonylamino)hexanoic Acid,C12H22N2O4
N-C8:0-asparagine,asparagine,8,short_medium_chain,C12H22N2O4,[M+H]+,259.16523365250004,8755,259.1685,12.603339784143754,5.609,True,True,True,121,asid_18281,True,Chalcones,"4-hydroxy-3,5-bis(3-methylbut-2-en-1-yl)benzaldehyde",C17H22O2
N-C8:0-asparagine,asparagine,8,short_medium_chain,C12H22N2O4,[M+H]+,259.16523365250004,13744,259.1685,12.603339784143754,4.555135,True,True,True,14,asid_235,False,,,
N-C8:0-asparagine,asparagine,8,short_medium_chain,C12H22N2O4,[M+H]+,259.16523365250004,23461,259.1683,11.831631337034649,5.970813,True,True,True,27,asid_6338,True,,,
N-C8:0-asparagine,asparagine,8,short_medium_chain,C12H22N2O4,[M+H]+,259.16523365250004,30278,259.1689,14.146756678361966,4.175549,True,False,True,6,asid_30278,True,Pinane monoterpenoids,"({3-[(Tert-butoxy)carbonyl]-2,2-dimethyl-1,3-oxazolidin-4-yl}methyl)boronic acid",C11H22BNO5
N-C8:0-asparagine,asparagine,8,short_medium_chain,C12H22N2O4,[M+H]+,259.16523365250004,34196,259.1683,11.831631337034649,5.199,True,False,False,10,asid_974,False,Aminoacids,"({3-[(Tert-butoxy)carbonyl]-2,2-dimethyl-1,3-oxazolidin-4-yl}methyl)boronic acid",C7H18BN7O3
N-C8:0-asparagine,asparagine,8,short_medium_chain,C12H22N2O4,[M+H]+,259.16523365250004,42242,259.1684,12.217485560698869,6.214238,True,True,True,8,asid_15530,True,,,
N-C8:0-asparagine,asparagine,8,short_medium_chain,C12H22N2O4,[M+H]+,259.16523365250004,44520,259.1683,11.831631337034649,5.312105,True,False,True,26,asid_44520,True,Chalcones,"4-hydroxy-3,5-bis(3-methylbut-2-en-1-yl)benzaldehyde",C17H22O2
N-C8:0-proline,proline,8,short_medium_chain,C13H23N1O3,[M+NH4]+,259.20161915799997,28400,259.2046,11.500090199048152,5.022,True,True,True,21,asid_26992,True,,,
N-C8:0-proline,proline,8,short_medium_chain,C13H23N1O3,[M+NH4]+,259.20161915799997,46109,259.205,13.04329043543483,3.875413,True,True,True,8,asid_3884,False,,,
N-C7:0-lysine,lysine,7,short_medium_chain,C13H26N2O3,[M+H]+,259.201619158,28400,259.2046,11.500090198828847,5.022,True,True,True,21,asid_26992,True,,,
N-C7:0-lysine,lysine,7,short_medium_chain,C13H26N2O3,[M+H]+,259.201619158,46109,259.205,13.043290435215525,3.875413,True,True,True,8,asid_3884,False,,,
N-C9:0-homoserine,homoserine,9,short_medium_chain,C13H25N1O4,[M+H]+,260.185634743,2053,260.1849,-2.8239183945663786,1.460763,True,False,True,43,asid_2053,True,Fatty acyl carnitines,"2,2,3-Trideuterio-3-hexanoyloxy-4-(trimethylazaniumyl)butanoate",C13H25NO4
N-C9:0-homoserine,homoserine,9,short_medium_chain,C13H25N1O4,[M+H]+,260.185634743,3336,260.185,-2.4395774217310655,1.394715,True,False,True,34,asid_3336,True,Fatty acyl carnitines,"2,2,3-Trideuterio-3-hexanoyloxy-4-(trimethylazaniumyl)butanoate",C9H21N7O2
N-C9:0-homoserine,homoserine,9,short_medium_chain,C13H25N1O4,[M+H]+,260.185634743,6589,260.1849,-2.8239183945663786,1.240268,True,False,True,23,asid_6589,True,Fatty acyl carnitines,"2,2,3-Trideuterio-3-hexanoyloxy-4-(trimethylazaniumyl)butanoate",C9H21N7O2
N-C10:0-serine,serine,10,short_medium_chain,C13H25N1O4,[M+H]+,260.185634743,2053,260.1849,-2.8239183945663786,1.460763,True,False,True,43,asid_2053,True,Fatty acyl carnitines,"2,2,3-Trideuterio-3-hexanoyloxy-4-(trimethylazaniumyl)butanoate",C13H25NO4
N-C10:0-serine,serine,10,short_medium_chain,C13H25N1O4,[M+H]+,260.185634743,3336,260.185,-2.4395774217310655,1.394715,True,False,True,34,asid_3336,True,Fatty acyl carnitines,"2,2,3-Trideuterio-3-hexanoyloxy-4-(trimethylazaniumyl)butanoate",C9H21N7O2
N-C10:0-serine,serine,10,short_medium_chain,C13H25N1O4,[M+H]+,260.185634743,6589,260.1849,-2.8239183945663786,1.240268,True,False,True,23,asid_6589,True,Fatty acyl carnitines,"2,2,3-Trideuterio-3-hexanoyloxy-4-(trimethylazaniumyl)butanoate",C9H21N7O2
N-C9:0-threonine,threonine,9,short_medium_chain,C13H25N1O4,[M+H]+,260.185634743,2053,260.1849,-2.8239183945663786,1.460763,True,False,True,43,asid_2053,True,Fatty acyl carnitines,"2,2,3-Trideuterio-3-hexanoyloxy-4-(trimethylazaniumyl)butanoate",C13H25NO4
N-C9:0-threonine,threonine,9,short_medium_chain,C13H25N1O4,[M+H]+,260.185634743,3336,260.185,-2.4395774217310655,1.394715,True,False,True,34,asid_3336,True,Fatty acyl carnitines,"2,2,3-Trideuterio-3-hexanoyloxy-4-(trimethylazaniumyl)butanoate",C9H21N7O2
N-C9:0-threonine,threonine,9,short_medium_chain,C13H25N1O4,[M+H]+,260.185634743,6589,260.1849,-2.8239183945663786,1.240268,True,False,True,23,asid_6589,True,Fatty acyl carnitines,"2,2,3-Trideuterio-3-hexanoyloxy-4-(trimethylazaniumyl)butanoate",C9H21N7O2
N-C7:0-leucine,leucine,7,short_medium_chain,C13H25N1O3,[M+NH4]+,261.2172692218,9059,261.2207,13.133810832061902,4.855,True,True,True,11,asid_402,False,Fatty aldehydes,Farnesylideneacetone,C18H28O
N-C7:0-leucine,leucine,7,short_medium_chain,C13H25N1O3,[M+NH4]+,261.2172692218,14266,261.2202,11.219695423327309,5.205891,True,True,True,20,asid_240,False,Fatty aldehydes,Farnesylideneacetone,C18H28O
N-C7:0-isoleucine,isoleucine,7,short_medium_chain,C13H25N1O3,[M+NH4]+,261.2172692218,9059,261.2207,13.133810832061902,4.855,True,True,True,11,asid_402,False,Fatty aldehydes,Farnesylideneacetone,C18H28O
N-C7:0-isoleucine,isoleucine,7,short_medium_chain,C13H25N1O3,[M+NH4]+,261.2172692218,14266,261.2202,11.219695423327309,5.205891,True,True,True,20,asid_240,False,Fatty aldehydes,Farnesylideneacetone,C18H28O
N-C11:0-glycine,glycine,11,short_medium_chain,C13H25N1O3,[M+NH4]+,261.2172692218,9059,261.2207,13.133810832061902,4.855,True,True,True,11,asid_402,False,Fatty aldehydes,Farnesylideneacetone,C18H28O
N-C11:0-glycine,glycine,11,short_medium_chain,C13H25N1O3,[M+NH4]+,261.2172692218,14266,261.2202,11.219695423327309,5.205891,True,True,True,20,asid_240,False,Fatty aldehydes,Farnesylideneacetone,C18H28O
N-C8:0-valine,valine,8,short_medium_chain,C13H25N1O3,[M+NH4]+,261.2172692218,9059,261.2207,13.133810832061902,4.855,True,True,True,11,asid_402,False,Fatty aldehydes,Farnesylideneacetone,C18H28O
N-C8:0-valine,valine,8,short_medium_chain,C13H25N1O3,[M+NH4]+,261.2172692218,14266,261.2202,11.219695423327309,5.205891,True,True,True,20,asid_240,False,Fatty aldehydes,Farnesylideneacetone,C18H28O
N-C10:0-alanine,alanine,10,short_medium_chain,C13H25N1O3,[M+NH4]+,261.2172692218,9059,261.2207,13.133810832061902,4.855,True,True,True,11,asid_402,False,Fatty aldehydes,Farnesylideneacetone,C18H28O
N-C10:0-alanine,alanine,10,short_medium_chain,C13H25N1O3,[M+NH4]+,261.2172692218,14266,261.2202,11.219695423327309,5.205891,True,True,True,20,asid_240,False,Fatty aldehydes,Farnesylideneacetone,C18H28O
N-C5:0-histidine,histidine,5,short_medium_chain,C11H17N3O3,[M+Na]+,262.1162121242,3198,262.1182,7.583948294926071,0.893818,True,True,False,67,asid_5540,False,Dipeptides,2-[2-azaniumyl-3-(1H-indol-3-yl)propanamido]acetate,C10H16FN3O4
N-C9:0-cysteine,cysteine,9,short_medium_chain,C12H23N1O3S1,[M+H]+,262.14714074709997,1842,262.1432,-15.03257708155123,5.193,True,False,True,30,asid_1842,True,Acridone alkaloids,"2-Methyl-2-(1,3,3-trimethyl-2-oxoindol-5-yl)propanoic acid",C15H19NO3
N-C7:0-methionine,methionine,7,short_medium_chain,C12H23N1O3S1,[M+H]+,262.14714074709997,1842,262.1432,-15.03257708155123,5.193,True,False,True,30,asid_1842,True,Acridone alkaloids,"2-Methyl-2-(1,3,3-trimethyl-2-oxoindol-5-yl)propanoic acid",C15H19NO3
N-C7:0-aspartate,aspartate,7,short_medium_chain,C11H19N1O5,[M+NH4]+,263.16014827460003,15635,263.1569,-12.34333777862157,5.190745,True,False,True,6,asid_15635,True,,,
N-C6:0-glutamate,glutamate,6,short_medium_chain,C11H19N1O5,[M+NH4]+,263.16014827460003,15635,263.1569,-12.34333777862157,5.190745,True,False,True,6,asid_15635,True,,,
N-C8:0-cysteine,cysteine,8,short_medium_chain,C11H21N1O3S1,[M+NH4]+,265.1580397842,512,265.1541,-14.858249077388571,0.661484,True,True,True,280,asid_6648,True,Dipeptides,2-(2-amino-3-methylbutanamido)-3-phenylpropanoic acid,C14H20N2O3
N-C8:0-cysteine,cysteine,8,short_medium_chain,C11H21N1O3S1,[M+NH4]+,265.1580397842,4110,265.1539,-15.61251623130708,1.520311,True,True,False,16,asid_1106,False,,,
N-C8:0-cysteine,cysteine,8,short_medium_chain,C11H21N1O3S1,[M+NH4]+,265.1580397842,5827,265.154,-15.235382654455012,1.636337,True,True,True,62,asid_3129,True,Dipeptides,,C14H20N2O3
N-C8:0-cysteine,cysteine,8,short_medium_chain,C11H21N1O3S1,[M+NH4]+,265.1580397842,7323,265.1538,-15.989649808373521,1.455595,True,True,True,9,asid_2331,False,,,
N-C8:0-cysteine,cysteine,8,short_medium_chain,C11H21N1O3S1,[M+NH4]+,265.1580397842,9111,265.1542,-14.481115500536504,2.149319,True,True,True,23,asid_7939,False,,,
N-C8:0-cysteine,cysteine,8,short_medium_chain,C11H21N1O3S1,[M+NH4]+,265.1580397842,11599,265.1543,-14.103981923684437,0.830339,True,True,True,47,asid_3528,False,Dipeptides,2-(2-amino-3-methylbutanamido)-3-phenylpropanoic acid,C14H20N2O3
N-C8:0-cysteine,cysteine,8,short_medium_chain,C11H21N1O3S1,[M+NH4]+,265.1580397842,20211,265.1541,-14.858249077388571,0.618857,True,False,True,21,asid_20211,False,,,
N-C6:0-methionine,methionine,6,short_medium_chain,C11H21N1O3S1,[M+NH4]+,265.1580397842,512,265.1541,-14.858249077388571,0.661484,True,True,True,280,asid_6648,True,Dipeptides,2-(2-amino-3-methylbutanamido)-3-phenylpropanoic acid,C14H20N2O3
N-C6:0-methionine,methionine,6,short_medium_chain,C11H21N1O3S1,[M+NH4]+,265.1580397842,4110,265.1539,-15.61251623130708,1.520311,True,True,False,16,asid_1106,False,,,
N-C6:0-methionine,methionine,6,short_medium_chain,C11H21N1O3S1,[M+NH4]+,265.1580397842,5827,265.154,-15.235382654455012,1.636337,True,True,True,62,asid_3129,True,Dipeptides,,C14H20N2O3
N-C6:0-methionine,methionine,6,short_medium_chain,C11H21N1O3S1,[M+NH4]+,265.1580397842,7323,265.1538,-15.989649808373521,1.455595,True,True,True,9,asid_2331,False,,,
N-C6:0-methionine,methionine,6,short_medium_chain,C11H21N1O3S1,[M+NH4]+,265.1580397842,9111,265.1542,-14.481115500536504,2.149319,True,True,True,23,asid_7939,False,,,
N-C6:0-methionine,methionine,6,short_medium_chain,C11H21N1O3S1,[M+NH4]+,265.1580397842,11599,265.1543,-14.103981923684437,0.830339,True,True,True,47,asid_3528,False,Dipeptides,2-(2-amino-3-methylbutanamido)-3-phenylpropanoic acid,C14H20N2O3
N-C6:0-methionine,methionine,6,short_medium_chain,C11H21N1O3S1,[M+NH4]+,265.1580397842,20211,265.1541,-14.858249077388571,0.618857,True,False,True,21,asid_20211,False,,,
N-C5:0-tyrosine,tyrosine,5,short_medium_chain,C14H19N1O4,[M+H]+,266.1386845516,27890,266.1381,-2.1964172589131734,0.95739,True,False,True,19,asid_27890,True,Fatty acyl carnitines,Benzoylcarnitine,C14H19NO4
N-C10:0-alanine,alanine,10,short_medium_chain,C13H25N1O3,[M+Na]+,266.17266436899996,20316,266.1718,-3.2473995854938695,5.519,True,True,True,8,asid_10152,False,Aminoacids,,C10H23N3O5
N-C10:0-alanine,alanine,10,short_medium_chain,C13H25N1O3,[M+Na]+,266.17266436899996,24721,266.1717,-3.623095565653235,3.760489,True,False,False,7,asid_24721,False,,,C10H23N3O5
N-C10:0-alanine,alanine,10,short_medium_chain,C13H25N1O3,[M+Na]+,266.17266436899996,30660,266.1741,5.393607955395286,2.642,True,False,True,16,asid_30660,True,,,
N-C7:0-isoleucine,isoleucine,7,short_medium_chain,C13H25N1O3,[M+Na]+,266.17266436899996,20316,266.1718,-3.2473995854938695,5.519,True,True,True,8,asid_10152,False,Aminoacids,,C10H23N3O5
N-C7:0-isoleucine,isoleucine,7,short_medium_chain,C13H25N1O3,[M+Na]+,266.17266436899996,24721,266.1717,-3.623095565653235,3.760489,True,False,False,7,asid_24721,False,,,C10H23N3O5
N-C7:0-isoleucine,isoleucine,7,short_medium_chain,C13H25N1O3,[M+Na]+,266.17266436899996,30660,266.1741,5.393607955395286,2.642,True,False,True,16,asid_30660,True,,,
N-C11:0-glycine,glycine,11,short_medium_chain,C13H25N1O3,[M+Na]+,266.17266436899996,20316,266.1718,-3.2473995854938695,5.519,True,True,True,8,asid_10152,False,Aminoacids,,C10H23N3O5
N-C11:0-glycine,glycine,11,short_medium_chain,C13H25N1O3,[M+Na]+,266.17266436899996,24721,266.1717,-3.623095565653235,3.760489,True,False,False,7,asid_24721,False,,,C10H23N3O5
N-C11:0-glycine,glycine,11,short_medium_chain,C13H25N1O3,[M+Na]+,266.17266436899996,30660,266.1741,5.393607955395286,2.642,True,False,True,16,asid_30660,True,,,
N-C8:0-valine,valine,8,short_medium_chain,C13H25N1O3,[M+Na]+,266.17266436899996,20316,266.1718,-3.2473995854938695,5.519,True,True,True,8,asid_10152,False,Aminoacids,,C10H23N3O5
N-C8:0-valine,valine,8,short_medium_chain,C13H25N1O3,[M+Na]+,266.17266436899996,24721,266.1717,-3.623095565653235,3.760489,True,False,False,7,asid_24721,False,,,C10H23N3O5
N-C8:0-valine,valine,8,short_medium_chain,C13H25N1O3,[M+Na]+,266.17266436899996,30660,266.1741,5.393607955395286,2.642,True,False,True,16,asid_30660,True,,,
N-C7:0-leucine,leucine,7,short_medium_chain,C13H25N1O3,[M+Na]+,266.17266436899996,20316,266.1718,-3.2473995854938695,5.519,True,True,True,8,asid_10152,False,Aminoacids,,C10H23N3O5
N-C7:0-leucine,leucine,7,short_medium_chain,C13H25N1O3,[M+Na]+,266.17266436899996,24721,266.1717,-3.623095565653235,3.760489,True,False,False,7,asid_24721,False,,,C10H23N3O5
N-C7:0-leucine,leucine,7,short_medium_chain,C13H25N1O3,[M+Na]+,266.17266436899996,30660,266.1741,5.393607955395286,2.642,True,False,True,16,asid_30660,True,,,
N-C6:0-glutamine,glutamine,6,short_medium_chain,C11H20N2O4,[M+Na]+,267.1315278368,17579,267.1335,7.3827421869939895,0.645,True,False,True,35,asid_17579,True,Dipeptides,,C13H18N2O4
N-C6:0-glutamine,glutamine,6,short_medium_chain,C11H20N2O4,[M+Na]+,267.1315278368,47975,267.1341,9.628826746243902,4.454366,True,False,True,9,asid_47975,True,Iridoids monoterpenoids,"1,5-Bis(2-tetrahydrofuryl)-3-pentanol",C13H18N2O4
N-C7:0-asparagine,asparagine,7,short_medium_chain,C11H20N2O4,[M+Na]+,267.1315278368,17579,267.1335,7.3827421869939895,0.645,True,False,True,35,asid_17579,True,Dipeptides,,C13H18N2O4
N-C7:0-asparagine,asparagine,7,short_medium_chain,C11H20N2O4,[M+Na]+,267.1315278368,47975,267.1341,9.628826746243902,4.454366,True,False,True,9,asid_47975,True,Iridoids monoterpenoids,"1,5-Bis(2-tetrahydrofuryl)-3-pentanol",C13H18N2O4
N-C4:0-arginine,arginine,4,short_medium_chain,C10H20N4O3,[M+Na]+,267.1427612251,8188,267.1481,19.984726052517352,3.11227,True,True,False,14,asid_31204,False,Dipeptides,"Acetamide, 2-((10,11-dihydro-5H-dibenzo(a,d)cyclohepten-5-yl)amino)-",C17H18N2O
N-C6:0-lysine,lysine,6,short_medium_chain,C12H24N2O3,[M+Na]+,267.1679133423,32176,267.1711,11.927546463854931,5.095007,True,False,True,7,asid_32176,True,,,
N-C6:0-lysine,lysine,6,short_medium_chain,C12H24N2O3,[M+Na]+,267.1679133423,51287,267.1693,5.190210466112117,3.942,True,False,True,23,asid_51287,True,Dipeptides,2-[(2-amino-1-hydroxy-4-methylpentylidene)amino]-3-methylpentanoic acid,C14H22N2O3
N-C6:0-lysine,lysine,6,short_medium_chain,C12H24N2O3,[M+Na]+,267.1679133423,52530,267.1692,4.81591402167487,4.15561,True,False,True,7,asid_52530,True,,,
N-C5:0-phenylalanine,phenylalanine,5,short_medium_chain,C14H19N1O3,[M+NH4]+,267.1703190304,32176,267.1711,2.9231151232586132,5.095007,True,False,True,7,asid_32176,True,,,
