species_prefix,protein_id,pfam_acc,full_seq_e_value,LOCUSTAG,GENUS,SPECIES,STRAIN
DBVPG6743,DBVPG6743_003573-T1,PF00743.26,2.7e-34,DBVPG6743,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6743
DBVPG6743,DBVPG6743_000150-T1,PF00743.26,2.6e-22,DBVPG6743,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6743
DBVPG6743,DBVPG6743_001719-T1,PF00743.26,4.6e-17,DBVPG6743,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6743
DBVPG6743,DBVPG6743_002204-T1,PF00743.26,3.8e-16,DBVPG6743,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6743
DBVPG6743,DBVPG6743_005282-T1,PF00743.26,7.1e-15,DBVPG6743,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6743
DBVPG6743,DBVPG6743_006155-T1,PF00743.26,8.5e-14,DBVPG6743,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6743
DBVPG6743,DBVPG6743_005283-T1,PF00743.26,2.4e-12,DBVPG6743,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6743
DBVPG6743,DBVPG6743_007339-T1,PF00743.26,4.4e-10,DBVPG6743,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6743
TFCN48D4,TFCN48D4_003112-T1,PF00743.26,3.9e-40,TFCN48D4,Rhodotorula,Rhodotorula paludigena,TFCN 48D-4
TFCN48D4,TFCN48D4_003112-T1,PF00743.26,3.9e-40,TFCN48D4,Rhodotorula,Rhodotorula paludigena,TFCN 48D-4
TFCN48D4,TFCN48D4_003112-T1,PF00743.26,3.9e-40,TFCN48D4,Rhodotorula,Rhodotorula paludigena,TFCN 48D-4
TFCN48D4,TFCN48D4_003799-T1,PF00743.26,3.7e-32,TFCN48D4,Rhodotorula,Rhodotorula paludigena,TFCN 48D-4
TFCN48D4,TFCN48D4_003799-T1,PF00743.26,3.7e-32,TFCN48D4,Rhodotorula,Rhodotorula paludigena,TFCN 48D-4
TFCN48D4,TFCN48D4_003690-T1,PF00743.26,3e-25,TFCN48D4,Rhodotorula,Rhodotorula paludigena,TFCN 48D-4
TFCN48D4,TFCN48D4_000402-T1,PF00743.26,8.3e-19,TFCN48D4,Rhodotorula,Rhodotorula paludigena,TFCN 48D-4
TFCN48D4,TFCN48D4_004959-T1,PF00743.26,8.3e-18,TFCN48D4,Rhodotorula,Rhodotorula paludigena,TFCN 48D-4
TFCN48D4,TFCN48D4_007158-T1,PF00743.26,4.8e-14,TFCN48D4,Rhodotorula,Rhodotorula paludigena,TFCN 48D-4
TFCN48D4,TFCN48D4_002881-T1,PF00743.26,8.9e-12,TFCN48D4,Rhodotorula,Rhodotorula paludigena,TFCN 48D-4
TFCN48D4,TFCN48D4_007232-T1,PF00743.26,2.9e-08,TFCN48D4,Rhodotorula,Rhodotorula paludigena,TFCN 48D-4
TFCN48D4,TFCN48D4_005550-T1,PF00743.26,4.7e-06,TFCN48D4,Rhodotorula,Rhodotorula paludigena,TFCN 48D-4
TFCN86A12,TFCN86A12_000583-T1,PF00743.26,1.1e-36,TFCN86A12,Rhodotorula,Rhodotorula mucilaginosa,TFCN 86A-12
TFCN86A12,TFCN86A12_000583-T1,PF00743.26,1.1e-36,TFCN86A12,Rhodotorula,Rhodotorula mucilaginosa,TFCN 86A-12
TFCN86A12,TFCN86A12_000583-T1,PF00743.26,1.1e-36,TFCN86A12,Rhodotorula,Rhodotorula mucilaginosa,TFCN 86A-12
TFCN86A12,TFCN86A12_000582-T1,PF00743.26,1.6e-35,TFCN86A12,Rhodotorula,Rhodotorula mucilaginosa,TFCN 86A-12
TFCN86A12,TFCN86A12_000582-T1,PF00743.26,1.6e-35,TFCN86A12,Rhodotorula,Rhodotorula mucilaginosa,TFCN 86A-12
TFCN86A12,TFCN86A12_000491-T1,PF00743.26,2.5e-34,TFCN86A12,Rhodotorula,Rhodotorula mucilaginosa,TFCN 86A-12
TFCN86A12,TFCN86A12_004173-T1,PF00743.26,3.4e-22,TFCN86A12,Rhodotorula,Rhodotorula mucilaginosa,TFCN 86A-12
TFCN86A12,TFCN86A12_002520-T1,PF00743.26,4.2e-17,TFCN86A12,Rhodotorula,Rhodotorula mucilaginosa,TFCN 86A-12
TFCN86A12,TFCN86A12_006500-T1,PF00743.26,3.2e-16,TFCN86A12,Rhodotorula,Rhodotorula mucilaginosa,TFCN 86A-12
TFCN86A12,TFCN86A12_006699-T1,PF00743.26,5.3e-12,TFCN86A12,Rhodotorula,Rhodotorula mucilaginosa,TFCN 86A-12
TFCN86A12,TFCN86A12_001860-T1,PF00743.26,4.2e-11,TFCN86A12,Rhodotorula,Rhodotorula mucilaginosa,TFCN 86A-12
TFCN86A12,TFCN86A12_005346-T1,PF00743.26,3.8e-10,TFCN86A12,Rhodotorula,Rhodotorula mucilaginosa,TFCN 86A-12
TFCN86A12,TFCN86A12_006698-T1,PF00743.26,5.1e-09,TFCN86A12,Rhodotorula,Rhodotorula mucilaginosa,TFCN 86A-12
TFCN134A3,TFCN134A3_000571-T1,PF00743.26,1.1e-32,TFCN134A3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 134A-3
TFCN134A3,TFCN134A3_000662-T1,PF00743.26,1.9e-30,TFCN134A3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 134A-3
TFCN134A3,TFCN134A3_000662-T1,PF00743.26,1.9e-30,TFCN134A3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 134A-3
TFCN134A3,TFCN134A3_000663-T1,PF00743.26,5e-24,TFCN134A3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 134A-3
TFCN134A3,TFCN134A3_004766-T1,PF00743.26,3.1e-22,TFCN134A3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 134A-3
TFCN134A3,TFCN134A3_004050-T1,PF00743.26,4.6e-17,TFCN134A3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 134A-3
TFCN134A3,TFCN134A3_002469-T1,PF00743.26,3.7e-15,TFCN134A3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 134A-3
TFCN134A3,TFCN134A3_003878-T1,PF00743.26,4e-15,TFCN134A3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 134A-3
TFCN134A3,TFCN134A3_004362-T1,PF00743.26,2.4e-14,TFCN134A3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 134A-3
TFCN134A3,TFCN134A3_004363-T1,PF00743.26,2.4e-13,TFCN134A3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 134A-3
TFCN134A3,TFCN134A3_001232-T1,PF00743.26,9.8e-10,TFCN134A3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 134A-3
TFCN17338D3,TFCN17338D3_001320-T1,PF00743.26,1.1e-36,TFCN17338D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-338D-3
TFCN17338D3,TFCN17338D3_001320-T1,PF00743.26,1.1e-36,TFCN17338D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-338D-3
TFCN17338D3,TFCN17338D3_001320-T1,PF00743.26,1.1e-36,TFCN17338D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-338D-3
TFCN17338D3,TFCN17338D3_001319-T1,PF00743.26,1.6e-35,TFCN17338D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-338D-3
TFCN17338D3,TFCN17338D3_001319-T1,PF00743.26,1.6e-35,TFCN17338D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-338D-3
TFCN17338D3,TFCN17338D3_001230-T1,PF00743.26,2.4e-34,TFCN17338D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-338D-3
TFCN17338D3,TFCN17338D3_002865-T1,PF00743.26,3.4e-22,TFCN17338D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-338D-3
TFCN17338D3,TFCN17338D3_003256-T1,PF00743.26,4.1e-17,TFCN17338D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-338D-3
TFCN17338D3,TFCN17338D3_003982-T1,PF00743.26,3.2e-16,TFCN17338D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-338D-3
TFCN17338D3,TFCN17338D3_000689-T1,PF00743.26,7.5e-14,TFCN17338D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-338D-3
TFCN17338D3,TFCN17338D3_004906-T1,PF00743.26,2.2e-12,TFCN17338D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-338D-3
TFCN17338D3,TFCN17338D3_006513-T1,PF00743.26,3.4e-10,TFCN17338D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-338D-3
TFCN17338D3,TFCN17338D3_004905-T1,PF00743.26,3.3e-09,TFCN17338D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-338D-3
TFCN4M13,TFCN4M13_001657-T1,PF00743.26,1.2e-36,TFCN4M13,Rhodotorula,Rhodotorula mucilaginosa,TFCN 4M-1-3
TFCN4M13,TFCN4M13_001657-T1,PF00743.26,1.2e-36,TFCN4M13,Rhodotorula,Rhodotorula mucilaginosa,TFCN 4M-1-3
TFCN4M13,TFCN4M13_001657-T1,PF00743.26,1.2e-36,TFCN4M13,Rhodotorula,Rhodotorula mucilaginosa,TFCN 4M-1-3
TFCN4M13,TFCN4M13_001658-T1,PF00743.26,1.7e-35,TFCN4M13,Rhodotorula,Rhodotorula mucilaginosa,TFCN 4M-1-3
TFCN4M13,TFCN4M13_001658-T1,PF00743.26,1.7e-35,TFCN4M13,Rhodotorula,Rhodotorula mucilaginosa,TFCN 4M-1-3
TFCN4M13,TFCN4M13_001752-T1,PF00743.26,2.7e-34,TFCN4M13,Rhodotorula,Rhodotorula mucilaginosa,TFCN 4M-1-3
TFCN4M13,TFCN4M13_003398-T1,PF00743.26,3.3e-22,TFCN4M13,Rhodotorula,Rhodotorula mucilaginosa,TFCN 4M-1-3
TFCN4M13,TFCN4M13_004351-T1,PF00743.26,3.5e-16,TFCN4M13,Rhodotorula,Rhodotorula mucilaginosa,TFCN 4M-1-3
TFCN4M13,TFCN4M13_003918-T1,PF00743.26,1.9e-15,TFCN4M13,Rhodotorula,Rhodotorula mucilaginosa,TFCN 4M-1-3
TFCN4M13,TFCN4M13_005458-T1,PF00743.26,6.8e-15,TFCN4M13,Rhodotorula,Rhodotorula mucilaginosa,TFCN 4M-1-3
TFCN4M13,TFCN4M13_001042-T1,PF00743.26,8.3e-14,TFCN4M13,Rhodotorula,Rhodotorula mucilaginosa,TFCN 4M-1-3
TFCN4M13,TFCN4M13_005457-T1,PF00743.26,2.3e-12,TFCN4M13,Rhodotorula,Rhodotorula mucilaginosa,TFCN 4M-1-3
TFCN4M13,TFCN4M13_007168-T1,PF00743.26,4.3e-10,TFCN4M13,Rhodotorula,Rhodotorula mucilaginosa,TFCN 4M-1-3
TFCN86A6,TFCN86A6_001307-T1,PF00743.26,2.7e-36,TFCN86A6,Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86A-6
TFCN86A6,TFCN86A6_001307-T1,PF00743.26,2.7e-36,TFCN86A6,Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86A-6
TFCN86A6,TFCN86A6_001207-T1,PF00743.26,5.7e-35,TFCN86A6,Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86A-6
TFCN86A6,TFCN86A6_003480-T1,PF00743.26,2.4e-27,TFCN86A6,Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86A-6
TFCN86A6,TFCN86A6_006301-T1,PF00743.26,4.1e-16,TFCN86A6,Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86A-6
TFCN86A6,TFCN86A6_002252-T1,PF00743.26,9.3e-16,TFCN86A6,Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86A-6
TFCN86A6,TFCN86A6_004641-T1,PF00743.26,2e-14,TFCN86A6,Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86A-6
TFCN86A6,TFCN86A6_002004-T1,PF00743.26,1.4e-09,TFCN86A6,Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86A-6
DBVPG5229,DBVPG5229_000844-T1,PF00743.26,1.2e-36,DBVPG5229,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5229
DBVPG5229,DBVPG5229_000844-T1,PF00743.26,1.2e-36,DBVPG5229,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5229
DBVPG5229,DBVPG5229_000844-T1,PF00743.26,1.2e-36,DBVPG5229,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5229
DBVPG5229,DBVPG5229_000845-T1,PF00743.26,1.7e-35,DBVPG5229,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5229
DBVPG5229,DBVPG5229_000845-T1,PF00743.26,1.7e-35,DBVPG5229,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5229
DBVPG5229,DBVPG5229_000946-T1,PF00743.26,2.7e-34,DBVPG5229,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5229
DBVPG5229,DBVPG5229_003668-T1,PF00743.26,2.5e-22,DBVPG5229,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5229
DBVPG5229,DBVPG5229_007271-T1,PF00743.26,3.5e-16,DBVPG5229,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5229
DBVPG5229,DBVPG5229_001809-T1,PF00743.26,8.3e-14,DBVPG5229,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5229
DBVPG5229,DBVPG5229_000749-T1,PF00743.26,2.3e-12,DBVPG5229,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5229
DBVPG5229,DBVPG5229_007232-T1,PF00743.26,4.3e-10,DBVPG5229,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5229
DBVPG5229,DBVPG5229_001985-T1,PF00743.26,8.8e-10,DBVPG5229,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5229
DBVPG5229,DBVPG5229_000750-T1,PF00743.26,3.6e-09,DBVPG5229,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5229
DBVPG4947,DBVPG4947_003492-T1,PF00743.26,1.3e-36,DBVPG4947,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4947
DBVPG4947,DBVPG4947_003492-T1,PF00743.26,1.3e-36,DBVPG4947,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4947
DBVPG4947,DBVPG4947_003492-T1,PF00743.26,1.3e-36,DBVPG4947,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4947
DBVPG4947,DBVPG4947_003491-T1,PF00743.26,1.8e-35,DBVPG4947,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4947
DBVPG4947,DBVPG4947_003491-T1,PF00743.26,1.8e-35,DBVPG4947,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4947
DBVPG4947,DBVPG4947_002490-T1,PF00743.26,2.7e-34,DBVPG4947,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4947
DBVPG4947,DBVPG4947_000874-T1,PF00743.26,2.6e-22,DBVPG4947,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4947
DBVPG4947,DBVPG4947_002894-T1,PF00743.26,4.6e-17,DBVPG4947,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4947
DBVPG4947,DBVPG4947_006986-T1,PF00743.26,3.5e-16,DBVPG4947,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4947
DBVPG4947,DBVPG4947_007395-T1,PF00743.26,7e-15,DBVPG4947,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4947
DBVPG4947,DBVPG4947_005409-T1,PF00743.26,8.7e-14,DBVPG4947,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4947
DBVPG4947,DBVPG4947_007396-T1,PF00743.26,2.4e-12,DBVPG4947,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4947
DBVPG4947,DBVPG4947_007081-T1,PF00743.26,5e-10,DBVPG4947,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4947
DBVPG10753,DBVPG10753_002607-T1,PF00743.26,6.4e-41,DBVPG10753,Rhodotorula,Rhodotorula kratochvilovae,DBVPG 10753
DBVPG10753,DBVPG10753_002607-T1,PF00743.26,6.4e-41,DBVPG10753,Rhodotorula,Rhodotorula kratochvilovae,DBVPG 10753
DBVPG10753,DBVPG10753_002607-T1,PF00743.26,6.4e-41,DBVPG10753,Rhodotorula,Rhodotorula kratochvilovae,DBVPG 10753
DBVPG10753,DBVPG10753_002449-T1,PF00743.26,8.7e-36,DBVPG10753,Rhodotorula,Rhodotorula kratochvilovae,DBVPG 10753
DBVPG10753,DBVPG10753_002449-T1,PF00743.26,8.7e-36,DBVPG10753,Rhodotorula,Rhodotorula kratochvilovae,DBVPG 10753
DBVPG10753,DBVPG10753_008800-T1,PF00743.26,7.3e-22,DBVPG10753,Rhodotorula,Rhodotorula kratochvilovae,DBVPG 10753
DBVPG10753,DBVPG10753_007870-T1,PF00743.26,1.1e-18,DBVPG10753,Rhodotorula,Rhodotorula kratochvilovae,DBVPG 10753
DBVPG10753,DBVPG10753_007043-T1,PF00743.26,8.9e-15,DBVPG10753,Rhodotorula,Rhodotorula kratochvilovae,DBVPG 10753
DBVPG10753,DBVPG10753_004838-T1,PF00743.26,6.3e-14,DBVPG10753,Rhodotorula,Rhodotorula kratochvilovae,DBVPG 10753
DBVPG10753,DBVPG10753_007436-T1,PF00743.26,2.6e-13,DBVPG10753,Rhodotorula,Rhodotorula kratochvilovae,DBVPG 10753
DBVPG10753,DBVPG10753_007165-T1,PF00743.26,1.5e-06,DBVPG10753,Rhodotorula,Rhodotorula kratochvilovae,DBVPG 10753
DBVPG4531,DBVPG4531_001328-T1,PF00743.26,1e-36,DBVPG4531,Rhodotorula,Rhodotorula taiwanensis,DBVPG 4531
DBVPG4531,DBVPG4531_001328-T1,PF00743.26,1e-36,DBVPG4531,Rhodotorula,Rhodotorula taiwanensis,DBVPG 4531
DBVPG4531,DBVPG4531_001328-T1,PF00743.26,1e-36,DBVPG4531,Rhodotorula,Rhodotorula taiwanensis,DBVPG 4531
DBVPG4531,DBVPG4531_001328-T1,PF00743.26,1e-36,DBVPG4531,Rhodotorula,Rhodotorula taiwanensis,DBVPG 4531
DBVPG4531,DBVPG4531_001667-T1,PF00743.26,1.7e-34,DBVPG4531,Rhodotorula,Rhodotorula taiwanensis,DBVPG 4531
DBVPG4531,DBVPG4531_006026-T1,PF00743.26,1.2e-27,DBVPG4531,Rhodotorula,Rhodotorula taiwanensis,DBVPG 4531
DBVPG4531,DBVPG4531_006809-T1,PF00743.26,3.7e-18,DBVPG4531,Rhodotorula,Rhodotorula taiwanensis,DBVPG 4531
DBVPG4531,DBVPG4531_006775-T1,PF00743.26,3.7e-15,DBVPG4531,Rhodotorula,Rhodotorula taiwanensis,DBVPG 4531
DBVPG4531,DBVPG4531_006774-T1,PF00743.26,7.8e-15,DBVPG4531,Rhodotorula,Rhodotorula taiwanensis,DBVPG 4531
DBVPG4531,DBVPG4531_007082-T1,PF00743.26,1.4e-13,DBVPG4531,Rhodotorula,Rhodotorula taiwanensis,DBVPG 4531
DBVPG4531,DBVPG4531_003647-T1,PF00743.26,3.4e-10,DBVPG4531,Rhodotorula,Rhodotorula taiwanensis,DBVPG 4531
TFCN2502E3337,TFCN2502E3337_002825-T1,PF00743.26,1.2e-36,TFCN2502E3337,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E333-7
TFCN2502E3337,TFCN2502E3337_002825-T1,PF00743.26,1.2e-36,TFCN2502E3337,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E333-7
TFCN2502E3337,TFCN2502E3337_002825-T1,PF00743.26,1.2e-36,TFCN2502E3337,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E333-7
TFCN2502E3337,TFCN2502E3337_002824-T1,PF00743.26,1.6e-35,TFCN2502E3337,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E333-7
TFCN2502E3337,TFCN2502E3337_002824-T1,PF00743.26,1.6e-35,TFCN2502E3337,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E333-7
TFCN2502E3337,TFCN2502E3337_005015-T1,PF00743.26,2.5e-34,TFCN2502E3337,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E333-7
TFCN2502E3337,TFCN2502E3337_002950-T1,PF00743.26,3.4e-22,TFCN2502E3337,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E333-7
TFCN2502E3337,TFCN2502E3337_003362-T1,PF00743.26,4.2e-17,TFCN2502E3337,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E333-7
TFCN2502E3337,TFCN2502E3337_006628-T1,PF00743.26,3.2e-16,TFCN2502E3337,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E333-7
TFCN2502E3337,TFCN2502E3337_005269-T1,PF00743.26,6.4e-15,TFCN2502E3337,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E333-7
TFCN2502E3337,TFCN2502E3337_005270-T1,PF00743.26,2.2e-12,TFCN2502E3337,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E333-7
TFCN2502E3337,TFCN2502E3337_000147-T1,PF00743.26,4.3e-11,TFCN2502E3337,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E333-7
DBVPG3090,DBVPG3090_006270-T1,PF00743.26,1.4e-36,DBVPG3090,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3090
DBVPG3090,DBVPG3090_006270-T1,PF00743.26,1.4e-36,DBVPG3090,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3090
DBVPG3090,DBVPG3090_006270-T1,PF00743.26,1.4e-36,DBVPG3090,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3090
DBVPG3090,DBVPG3090_006271-T1,PF00743.26,1.8e-35,DBVPG3090,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3090
DBVPG3090,DBVPG3090_006271-T1,PF00743.26,1.8e-35,DBVPG3090,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3090
DBVPG3090,DBVPG3090_005508-T1,PF00743.26,3.2e-34,DBVPG3090,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3090
DBVPG3090,DBVPG3090_001997-T1,PF00743.26,2.6e-22,DBVPG3090,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3090
DBVPG3090,DBVPG3090_007203-T1,PF00743.26,5.8e-17,DBVPG3090,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3090
DBVPG3090,DBVPG3090_005481-T1,PF00743.26,7e-15,DBVPG3090,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3090
DBVPG3090,DBVPG3090_000158-T1,PF00743.26,8.5e-14,DBVPG3090,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3090
DBVPG3090,DBVPG3090_005480-T1,PF00743.26,2.1e-12,DBVPG3090,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3090
DBVPG3090,DBVPG3090_004078-T1,PF00743.26,9e-10,DBVPG3090,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3090
DBVPG3090,DBVPG3090_001042-T1,PF00743.26,9e-10,DBVPG3090,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3090
DBVPG10619,DBVPG10619_001283-T1,PF00743.26,1.3e-36,DBVPG10619,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10619
DBVPG10619,DBVPG10619_001283-T1,PF00743.26,1.3e-36,DBVPG10619,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10619
DBVPG10619,DBVPG10619_001283-T1,PF00743.26,1.3e-36,DBVPG10619,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10619
DBVPG10619,DBVPG10619_001284-T1,PF00743.26,1.8e-35,DBVPG10619,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10619
DBVPG10619,DBVPG10619_001284-T1,PF00743.26,1.8e-35,DBVPG10619,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10619
DBVPG10619,DBVPG10619_004179-T1,PF00743.26,2.7e-34,DBVPG10619,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10619
DBVPG10619,DBVPG10619_004806-T1,PF00743.26,3.4e-22,DBVPG10619,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10619
DBVPG10619,DBVPG10619_004618-T1,PF00743.26,4.6e-17,DBVPG10619,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10619
DBVPG10619,DBVPG10619_007262-T1,PF00743.26,3.5e-16,DBVPG10619,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10619
DBVPG10619,DBVPG10619_005329-T1,PF00743.26,7e-15,DBVPG10619,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10619
DBVPG10619,DBVPG10619_004055-T1,PF00743.26,8.5e-14,DBVPG10619,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10619
DBVPG10619,DBVPG10619_005328-T1,PF00743.26,2.4e-12,DBVPG10619,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10619
DBVPG10619,DBVPG10619_007089-T1,PF00743.26,9.1e-10,DBVPG10619,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10619
DBVPG3044,DBVPG3044_000034-T1,PF00743.26,1.4e-36,DBVPG3044,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3044
DBVPG3044,DBVPG3044_000034-T1,PF00743.26,1.4e-36,DBVPG3044,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3044
DBVPG3044,DBVPG3044_000034-T1,PF00743.26,1.4e-36,DBVPG3044,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3044
DBVPG3044,DBVPG3044_000035-T1,PF00743.26,1.7e-35,DBVPG3044,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3044
DBVPG3044,DBVPG3044_000035-T1,PF00743.26,1.7e-35,DBVPG3044,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3044
DBVPG3044,DBVPG3044_005557-T1,PF00743.26,3.2e-34,DBVPG3044,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3044
DBVPG3044,DBVPG3044_002841-T1,PF00743.26,2.6e-22,DBVPG3044,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3044
DBVPG3044,DBVPG3044_000487-T1,PF00743.26,5.7e-17,DBVPG3044,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3044
DBVPG3044,DBVPG3044_006049-T1,PF00743.26,6.9e-15,DBVPG3044,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3044
DBVPG3044,DBVPG3044_003625-T1,PF00743.26,6.1e-14,DBVPG3044,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3044
DBVPG3044,DBVPG3044_002066-T1,PF00743.26,8.3e-14,DBVPG3044,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3044
DBVPG3044,DBVPG3044_006048-T1,PF00743.26,2.1e-12,DBVPG3044,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3044
DBVPG3044,DBVPG3044_002342-T1,PF00743.26,8.9e-10,DBVPG3044,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3044
DBVPG7539,DBVPG7539_000991-T1,PF00743.26,2.4e-40,DBVPG7539,Rhodotorula,Rhodotorula kratochvilovae,DBVPG 7539
DBVPG7539,DBVPG7539_000991-T1,PF00743.26,2.4e-40,DBVPG7539,Rhodotorula,Rhodotorula kratochvilovae,DBVPG 7539
DBVPG7539,DBVPG7539_000991-T1,PF00743.26,2.4e-40,DBVPG7539,Rhodotorula,Rhodotorula kratochvilovae,DBVPG 7539
