species_prefix,protein_id,n_adenylation_domains,is_two_module,LOCUSTAG,GENUS,SPECIES,STRAIN
DBVPG8043,DBVPG8043_003830-T1,1,False,DBVPG8043,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 8043
TFCN1A14,TFCN1A14_004938-T1,1,False,TFCN1A14,Rhodotorula,Rhodotorula mucilaginosa,TFCN 1A-14
DBVPG4950,DBVPG4950_004686-T1,1,False,DBVPG4950,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4950
DBVPG3772,DBVPG3772_001484-T1,1,False,DBVPG3772,Rhodotorula,Rhodotorula dairenensis,DBVPG 3772
TFCN17332C2,TFCN17332C2_002562-T1,1,False,TFCN17332C2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332C-2
TFCN98D7,TFCN98D7_002623-T1,1,False,TFCN98D7,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98D-7
DBVPG4203,DBVPG4203_002483-T1,1,False,DBVPG4203,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4203
DBVPG4669,DBVPG4669_004105-T1,1,False,DBVPG4669,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4669
TFCN17325P1,TFCN17325P1_004833-T1,1,False,TFCN17325P1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-325P-1
TFCN86C9,TFCN86C9_004734-T1,1,False,TFCN86C9,Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86C-9
DBVPG6092,DBVPG6092_003687-T1,1,False,DBVPG6092,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6092
TFCN4M12,TFCN4M12_003184-T1,1,False,TFCN4M12,Rhodotorula,Rhodotorula mucilaginosa,TFCN 4M-1-2
TFCN152D6,TFCN152D6_003465-T1,1,False,TFCN152D6,Rhodotorula,Rhodotorula toruloides,TFCN 152D-6
TFCN152D6,TFCN152D6_005994-T1,1,False,TFCN152D6,Rhodotorula,Rhodotorula toruloides,TFCN 152D-6
TFCN25332C1,TFCN25332C1_003538-T1,1,False,TFCN25332C1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-332C-1
TFCN17337P5,TFCN17337P5_010959-T1,1,False,TFCN17337P5,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-337P-5
TFCN17337P5,TFCN17337P5_007747-T1,1,False,TFCN17337P5,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-337P-5
DBVPG5228,DBVPG5228_003824-T1,1,False,DBVPG5228,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5228
DBVPG10882,DBVPG10882_001534-T1,1,False,DBVPG10882,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10882
DBVPG10383,DBVPG10383_008199-T1,1,False,DBVPG10383,Rhodotorula,Rhodotorula kratochvilovae,DBVPG 10383
DBVPG5227,DBVPG5227_004234-T1,1,False,DBVPG5227,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5227
TFCN25333P5,TFCN25333P5_006933-T1,1,False,TFCN25333P5,Rhodotorula,Rhodotorula paludigena,TFCN 25-333P-5
DBVPG3854,DBVPG3854_007083-T1,1,False,DBVPG3854,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3854
DBVPG3854,DBVPG3854_008382-T1,1,False,DBVPG3854,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3854
TFCN270H2,TFCN270H2_005904-T1,1,False,TFCN270H2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 270H-2
DBVPG4376,DBVPG4376_002720-T1,1,False,DBVPG4376,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4376
DBVPG4380,DBVPG4380_002090-T1,1,False,DBVPG4380,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4380
TFCN98D9,TFCN98D9_002459-T1,1,False,TFCN98D9,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98D-9
TFCN48D10,TFCN48D10_007191-T1,1,False,TFCN48D10,Rhodotorula,Rhodotorula paludigena,TFCN 48D-10
TFCN98C8,TFCN98C8_002865-T1,1,False,TFCN98C8,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98C-8
TFCN17332P2,TFCN17332P2_003283-T1,1,False,TFCN17332P2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332P-2
DBVPG10780,DBVPG10780_003807-T1,1,False,DBVPG10780,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10780
TFCN98C5,TFCN98C5_002541-T1,1,False,TFCN98C5,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98C-5
DBVPG4958,DBVPG4958_003621-T1,1,False,DBVPG4958,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4958
TFCN141C2,TFCN141C2_004364-T1,1,False,TFCN141C2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 141C-2
TFCN25337Y1,TFCN25337Y1_003329-T1,1,False,TFCN25337Y1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-337Y-1
TFCN2502E3341,TFCN2502E3341_006256-T1,1,False,TFCN2502E3341,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E334-1
TFCN2502E3341,TFCN2502E3341_010469-T1,1,False,TFCN2502E3341,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E334-1
TFCN25325Y1,TFCN25325Y1_003238-T1,1,False,TFCN25325Y1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-325Y-1
TFCN17332M2,TFCN17332M2_004449-T1,1,False,TFCN17332M2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332M-2
TFCN137C3,TFCN137C3_002287-T1,1,False,TFCN137C3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 137C-3
DBVPG4202,DBVPG4202_004143-T1,1,False,DBVPG4202,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4202
DBVPG4530,DBVPG4530_003287-T1,1,False,DBVPG4530,Rhodotorula,Rhodotorula taiwanensis,DBVPG 4530
DBVPG3443,DBVPG3443_001070-T1,1,False,DBVPG3443,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3443
TFCN17333D2,TFCN17333D2_004204-T1,1,False,TFCN17333D2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-333D-2
TFCN152A5,TFCN152A5_005551-T1,1,False,TFCN152A5,Rhodotorula,Rhodotorula mucilaginosa,TFCN 152A-5
TFCN130D4,TFCN130D4_003775-T1,1,False,TFCN130D4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 130D-4
DBVPG3984,DBVPG3984_007415-T1,1,False,DBVPG3984,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3984
DBVPG6803,DBVPG6803_003889-T1,1,False,DBVPG6803,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6803
DBVPG6593,DBVPG6593_003974-T1,1,False,DBVPG6593,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6593
TFCN3401,TFCN3401_003568-T1,1,False,TFCN3401,Rhodotorula,Rhodotorula mucilaginosa,TFCN 340-1
TFCN152C6,TFCN152C6_003361-T1,1,False,TFCN152C6,Rhodotorula,Rhodotorula toruloides,TFCN 152C-6
TFCN118C2,TFCN118C2_003081-T1,1,False,TFCN118C2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 118C-2
TFCN102C2,TFCN102C2_002868-T1,1,False,TFCN102C2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 102C-2
TFCN98C7,TFCN98C7_002646-T1,1,False,TFCN98C7,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98C-7
TFCN4M15,TFCN4M15_003616-T1,1,False,TFCN4M15,Rhodotorula,Rhodotorula mucilaginosa,TFCN 4M-1-5
TFCN25335C1,TFCN25335C1_000040-T1,1,False,TFCN25335C1,Rhodotorula,Rhodotorula diobovata,TFCN 25-335C-1
TFCN25335C1,TFCN25335C1_005408-T1,1,False,TFCN25335C1,Rhodotorula,Rhodotorula diobovata,TFCN 25-335C-1
DBVPG3858,DBVPG3858_003304-T1,1,False,DBVPG3858,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3858
TFCN222A2,TFCN222A2_002137-T1,1,False,TFCN222A2,Rhodotorula,Rhodotorula sp. clade I,TFCN 222A-2
DBVPG4466,DBVPG4466_005898-T1,1,False,DBVPG4466,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4466
TFCN152A12,TFCN152A12_002753-T1,1,False,TFCN152A12,Rhodotorula,Rhodotorula mucilaginosa,TFCN 152A-12
TFCN48A2,TFCN48A2_004518-T1,1,False,TFCN48A2,Rhodotorula,Rhodotorula paludigena,TFCN 48A-2
TFCN86A3,TFCN86A3_000973-T1,1,False,TFCN86A3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 86A-3
TFCN25332Y1,TFCN25332Y1_003479-T1,1,False,TFCN25332Y1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-332Y-1
DBVPG5758,DBVPG5758_002423-T1,1,False,DBVPG5758,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5758
DBVPG5758,DBVPG5758_001946-T1,1,False,DBVPG5758,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5758
TFCN54D1,TFCN54D1_007753-T1,1,False,TFCN54D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 54D-1
TFCN54D1,TFCN54D1_007430-T1,1,False,TFCN54D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 54D-1
DBVPG4957,DBVPG4957_004683-T1,1,False,DBVPG4957,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4957
TFCN273H1,TFCN273H1_002311-T1,1,False,TFCN273H1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 273H-1
TFCN17329Y4,TFCN17329Y4_004602-T1,1,False,TFCN17329Y4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-329Y-4
DBVPG4920,DBVPG4920_001786-T1,1,False,DBVPG4920,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4920
TFCN186DK32,TFCN186DK32_002050-T1,1,False,TFCN186DK32,Rhodotorula,Rhodotorula sp. clade XI,TFCN 186DK3-2
DBVPG3778,DBVPG3778_002289-T1,1,False,DBVPG3778,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3778
TFCN86A8,TFCN86A8_003561-T1,1,False,TFCN86A8,Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86A-8
TFCN7W2923,TFCN7W2923_002001-T1,1,False,TFCN7W2923,Rhodotorula,Rhodotorula dairenensis,TFCN 7W-292-3
TFCN25395P1,TFCN25395P1_004682-T1,1,False,TFCN25395P1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-395P-1
TFCN25333Y10,TFCN25333Y10_004601-T1,1,False,TFCN25333Y10,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333Y-10
TFCN17Y2781,TFCN17Y2781_006353-T1,1,False,TFCN17Y2781,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17Y-278-1
DBVPG6740,DBVPG6740_002504-T1,1,False,DBVPG6740,Pseudomicrostroma,Pseudomicrostroma phylloplanum,DBVPG 6740
DBVPG3983,DBVPG3983_007396-T1,1,False,DBVPG3983,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3983
DBVPG6202,DBVPG6202_001053-T1,1,False,DBVPG6202,Rhodotorula,Rhodotorula diobovata,DBVPG 6202
DBVPG6202,DBVPG6202_000876-T1,1,False,DBVPG6202,Rhodotorula,Rhodotorula diobovata,DBVPG 6202
DBVPG3381,DBVPG3381_002878-T1,1,False,DBVPG3381,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3381
DBVPG3238,DBVPG3238_004892-T1,1,False,DBVPG3238,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3238
TFCN152C5,TFCN152C5_004810-T1,1,False,TFCN152C5,Rhodotorula,Rhodotorula mucilaginosa,TFCN 152C-5
TFCN3423,TFCN3423_006015-T1,1,False,TFCN3423,Rhodotorula,Rhodotorula mucilaginosa,TFCN 342-3
TFCN1702E3373,TFCN1702E3373_010039-T1,1,False,TFCN1702E3373,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E337-3
TFCN1702E3373,TFCN1702E3373_005134-T1,1,False,TFCN1702E3373,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E337-3
TFCN152D4,TFCN152D4_001822-T1,1,False,TFCN152D4,Rhodotorula,Rhodotorula toruloides,TFCN 152D-4
TFCN2502E3901,TFCN2502E3901_008799-T1,1,False,TFCN2502E3901,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E390-1
TFCN2502E3901,TFCN2502E3901_009252-T1,1,False,TFCN2502E3901,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E390-1
TFCN152A6,TFCN152A6_003866-T1,1,False,TFCN152A6,Rhodotorula,Rhodotorula toruloides,TFCN 152A-6
TFCN152A6,TFCN152A6_005393-T1,1,False,TFCN152A6,Rhodotorula,Rhodotorula toruloides,TFCN 152A-6
DBVPG7021,DBVPG7021_006843-T1,1,False,DBVPG7021,Rhodotorula,Rhodotorula graminis,DBVPG 7021
TFCN3403,TFCN3403_004587-T1,1,False,TFCN3403,Rhodotorula,Rhodotorula mucilaginosa,TFCN 340-3
DBVPG3774,DBVPG3774_002983-T1,1,False,DBVPG3774,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3774
TFCN54D2,TFCN54D2_003378-T1,1,False,TFCN54D2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 54D-2
DBVPG4964,DBVPG4964_003433-T1,1,False,DBVPG4964,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4964
TFCN209612,TFCN209612_002597-T1,1,False,TFCN209612,Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-12
TFCN17291Y1,TFCN17291Y1_007166-T1,1,False,TFCN17291Y1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-291Y-1
TFCN17291Y1,TFCN17291Y1_007288-T1,1,False,TFCN17291Y1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-291Y-1
TFCN107C3,TFCN107C3_003844-T1,1,False,TFCN107C3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 107C-3
TFCN209611,TFCN209611_003059-T1,1,False,TFCN209611,Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-11
DBVPG10075,DBVPG10075_004503-T1,1,False,DBVPG10075,Cystobasidium,Cystobasidium sp.,DBVPG 10075
DBVPG6091,DBVPG6091_004490-T1,1,False,DBVPG6091,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6091
DBVPG4610,DBVPG4610_003949-T1,1,False,DBVPG4610,Rhodotorula,Rhodotorula paludigena,DBVPG 4610
