sseqid,species_prefix,GENUS,SPECIES,STRAIN,pident,qcovhsp,scovhsp,evalue,bitscore,is_ortholog
DBVPG3774_002983-T1,DBVPG3774,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3774,63.0,99.8,99.7,0.0,1778.0,True
DBVPG3775_003349-T1,DBVPG3775,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3775,63.0,99.8,99.7,0.0,1778.0,True
DBVPG3776_002044-T1,DBVPG3776,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3776,63.0,99.8,99.7,0.0,1778.0,True
DBVPG3777_002273-T1,DBVPG3777,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3777,63.0,99.8,99.7,0.0,1778.0,True
DBVPG3778_002289-T1,DBVPG3778,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3778,63.0,99.8,99.7,0.0,1778.0,True
DBVPG3780_005306-T1,DBVPG3780,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3780,63.0,99.8,99.7,0.0,1778.0,True
DBVPG3854_007083-T1,DBVPG3854,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3854,63.0,99.8,99.7,0.0,1778.0,True
TFCN152A1_009838-T1,TFCN152A1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 152A-1,63.0,99.8,99.7,0.0,1778.0,True
TFCN1702E3373_010039-T1,TFCN1702E3373,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E337-3,63.0,99.8,99.7,0.0,1778.0,True
TFCN17291Y1_007166-T1,TFCN17291Y1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-291Y-1,63.0,99.8,99.7,0.0,1778.0,True
TFCN17329Y4_004602-T1,TFCN17329Y4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-329Y-4,63.0,99.8,99.7,0.0,1778.0,True
TFCN17334D6_011410-T1,TFCN17334D6,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334D-6,63.0,99.8,99.7,0.0,1778.0,True
TFCN17334Y5_008476-T1,TFCN17334Y5,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334Y-5,63.0,99.8,99.7,0.0,1778.0,True
TFCN17Y2781_006353-T1,TFCN17Y2781,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17Y-278-1,63.0,99.8,99.7,0.0,1778.0,True
DBVPG10842_003888-T1,DBVPG10842,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10842,63.0,99.8,99.7,0.0,1778.0,True
TFCN209612_002597-T1,TFCN209612,Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-12,63.0,99.8,99.7,0.0,1778.0,True
TFCN209614_002804-T1,TFCN209614,Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-14,63.0,99.8,99.7,0.0,1778.0,True
TFCN209617_002647-T1,TFCN209617,Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-17,63.0,99.8,99.7,0.0,1778.0,True
TFCN20961_004435-T1,TFCN20961,Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-1,63.0,99.8,99.7,0.0,1778.0,True
TFCN20962_003641-T1,TFCN20962,Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-2,63.0,99.8,99.7,0.0,1778.0,True
TFCN20964_003715-T1,TFCN20964,Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-4,63.0,99.8,99.7,0.0,1778.0,True
TFCN20965_002151-T1,TFCN20965,Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-5,63.0,99.8,99.7,0.0,1778.0,True
TFCN212C2_003073-T1,TFCN212C2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 212C-2,63.0,99.8,99.7,0.0,1778.0,True
TFCN21362_003506-T1,TFCN21362,Rhodotorula,Rhodotorula mucilaginosa,TFCN 213-6-2,63.0,99.8,99.7,0.0,1778.0,True
TFCN21364_003028-T1,TFCN21364,Rhodotorula,Rhodotorula mucilaginosa,TFCN 213-6-4,63.0,99.8,99.7,0.0,1778.0,True
TFCN22C4_008902-T1,TFCN22C4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 22C-4,63.0,99.8,99.7,0.0,1778.0,True
TFCN2502E3321_000610-T1,TFCN2502E3321,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E332-1,63.0,99.8,99.7,0.0,1778.0,True
TFCN2502E3331_009020-T1,TFCN2502E3331,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E333-1,63.0,99.8,99.7,0.0,1778.0,True
TFCN2502E3337_006570-T1,TFCN2502E3337,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E333-7,63.0,99.8,99.7,0.0,1778.0,True
TFCN2502E3901_008799-T1,TFCN2502E3901,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E390-1,63.0,99.8,99.7,0.0,1778.0,True
TFCN25325Y1_003238-T1,TFCN25325Y1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-325Y-1,63.0,99.8,99.7,0.0,1778.0,True
DBVPG10882_001534-T1,DBVPG10882,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10882,63.0,99.8,99.7,0.0,1778.0,True
DBVPG10886_002359-T1,DBVPG10886,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10886,63.0,99.8,99.7,0.0,1778.0,True
DBVPG3237_003095-T1,DBVPG3237,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3237,63.0,99.8,99.7,0.0,1778.0,True
DBVPG3381_002878-T1,DBVPG3381,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3381,63.0,99.8,99.7,0.0,1778.0,True
DBVPG3382_003833-T1,DBVPG3382,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3382,63.0,99.8,99.7,0.0,1778.0,True
DBVPG3383_002907-T1,DBVPG3383,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3383,63.0,99.8,99.7,0.0,1778.0,True
DBVPG3384_004772-T1,DBVPG3384,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3384,63.0,99.8,99.7,0.0,1778.0,True
DBVPG3442_005364-T1,DBVPG3442,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3442,63.0,99.8,99.7,0.0,1778.0,True
DBVPG5227_004234-T1,DBVPG5227,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5227,63.0,99.8,99.7,0.0,1778.0,True
DBVPG5228_003824-T1,DBVPG5228,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5228,63.0,99.8,99.7,0.0,1778.0,True
DBVPG5229_002790-T1,DBVPG5229,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5229,63.0,99.8,99.7,0.0,1778.0,True
DBVPG5235_002322-T1,DBVPG5235,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5235,63.0,99.8,99.7,0.0,1778.0,True
DBVPG5236_003052-T1,DBVPG5236,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5236,63.0,99.8,99.7,0.0,1778.0,True
DBVPG6091_004490-T1,DBVPG6091,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6091,63.0,99.8,99.7,0.0,1778.0,True
DBVPG6092_003687-T1,DBVPG6092,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6092,63.0,99.8,99.7,0.0,1778.0,True
DBVPG6593_003974-T1,DBVPG6593,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6593,63.0,99.8,99.7,0.0,1778.0,True
TFCN98C3_006128-T1,TFCN98C3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98C-3,63.0,99.8,99.7,0.0,1778.0,True
TFCN98C5_002541-T1,TFCN98C5,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98C-5,63.0,99.8,99.7,0.0,1778.0,True
TFCN98C8_002865-T1,TFCN98C8,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98C-8,63.0,99.8,99.7,0.0,1778.0,True
TFCN98D11_004818-T1,TFCN98D11,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98D-11,63.0,99.8,99.7,0.0,1778.0,True
TFCN98D7_002623-T1,TFCN98D7,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98D-7,63.0,99.8,99.7,0.0,1778.0,True
TFCN98D9_002459-T1,TFCN98D9,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98D-9,63.0,99.8,99.7,0.0,1778.0,True
TFCN1A13_002498-T1,TFCN1A13,Rhodotorula,Rhodotorula pacifica,TFCN 1A-1-3,63.0,99.8,99.7,0.0,1778.0,True
TFCN1B12_002363-T1,TFCN1B12,Rhodotorula,Rhodotorula pacifica,TFCN 1B-1-2,63.0,99.8,99.7,0.0,1778.0,True
DBVPG3984_007415-T1,DBVPG3984,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3984,63.0,99.8,99.7,0.0,1777.0,True
DBVPG3983_007396-T1,DBVPG3983,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3983,63.0,99.8,99.7,0.0,1777.0,True
DBVPG3857_006431-T1,DBVPG3857,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3857,63.2,99.8,99.7,0.0,1777.0,True
DBVPG3856_010166-T1,DBVPG3856,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3856,63.2,99.8,99.7,0.0,1777.0,True
DBVPG3044_007341-T1,DBVPG3044,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3044,63.0,99.8,99.7,0.0,1777.0,True
DBVPG3090_007451-T1,DBVPG3090,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3090,63.0,99.8,99.7,0.0,1777.0,True
DBVPG3235_007280-T1,DBVPG3235,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3235,63.0,99.8,99.7,0.0,1777.0,True
DBVPG3854_008382-T1,DBVPG3854,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3854,63.2,99.8,99.7,0.0,1777.0,True
TFCN2502E3331_009129-T1,TFCN2502E3331,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E333-1,62.9,99.8,99.7,0.0,1777.0,True
TFCN22C4_009495-T1,TFCN22C4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 22C-4,62.9,99.8,99.7,0.0,1777.0,True
TFCN25395P1_004682-T1,TFCN25395P1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-395P-1,62.9,99.8,99.7,0.0,1777.0,True
TFCN25331D1_009076-T1,TFCN25331D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-331D-1,62.9,99.8,99.7,0.0,1777.0,True
TFCN17267M1_010564-T1,TFCN17267M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-267M-1,62.9,99.8,99.7,0.0,1777.0,True
TFCN17337P5_007747-T1,TFCN17337P5,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-337P-5,62.9,99.8,99.7,0.0,1777.0,True
TFCN2502E3901_009252-T1,TFCN2502E3901,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E390-1,62.9,99.8,99.7,0.0,1777.0,True
DBVPG4377_003643-T1,DBVPG4377,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4377,63.0,99.8,99.7,0.0,1777.0,True
DBVPG4534_003733-T1,DBVPG4534,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4534,62.9,99.8,99.7,0.0,1777.0,True
TFCN2502E3341_006256-T1,TFCN2502E3341,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E334-1,62.9,99.8,99.7,0.0,1773.0,True
DBVPG4380_002090-T1,DBVPG4380,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4380,62.6,99.8,99.7,0.0,1771.0,True
TFCN404D1_006611-T1,TFCN404D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 404D-1,62.6,99.8,99.7,0.0,1771.0,True
DBVPG6660_004587-T1,DBVPG6660,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6660,63.3,99.8,99.7,0.0,1770.0,True
TFCN1A14_004938-T1,TFCN1A14,Rhodotorula,Rhodotorula mucilaginosa,TFCN 1A-14,63.2,99.8,99.7,0.0,1769.0,True
TFCN3M11_002694-T1,TFCN3M11,Rhodotorula,Rhodotorula mucilaginosa,TFCN 3M-1-1,63.2,99.8,99.7,0.0,1769.0,True
TFCN54D1_007753-T1,TFCN54D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 54D-1,63.0,99.3,72.6,0.0,1768.0,True
TFCN1702E3901_010204-T1,TFCN1702E3901,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E390-1,62.0,99.8,99.7,0.0,1764.0,True
TFCN17390M1_008176-T1,TFCN17390M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-390M-1,62.0,99.8,99.7,0.0,1764.0,True
TFCN1702E3902_008738-T1,TFCN1702E3902,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E390-2,62.6,99.8,99.7,0.0,1758.0,True
DBVPG10348_001816-T1,DBVPG10348,Rhodotorula,Rhodotorula sp. clade XI,DBVPG 10348,62.2,99.8,99.7,0.0,1758.0,True
TFCN186DK32_002050-T1,TFCN186DK32,Rhodotorula,Rhodotorula sp. clade XI,TFCN 186DK3-2,62.2,99.8,99.7,0.0,1758.0,True
TFCN54D1_007430-T1,TFCN54D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 54D-1,63.3,97.4,71.8,0.0,1757.0,True
DBVPG4531_002390-T1,DBVPG4531,Rhodotorula,Rhodotorula taiwanensis,DBVPG 4531,62.1,99.9,100.0,0.0,1755.0,True
DBVPG4530_003287-T1,DBVPG4530,Rhodotorula,Rhodotorula taiwanensis,DBVPG 4530,62.3,99.7,99.7,0.0,1751.0,True
DBVPG3768_001497-T1,DBVPG3768,Rhodotorula,Rhodotorula dairenensis,DBVPG 3768,62.0,99.8,99.6,0.0,1750.0,True
DBVPG3772_001484-T1,DBVPG3772,Rhodotorula,Rhodotorula dairenensis,DBVPG 3772,62.0,99.8,99.6,0.0,1750.0,True
DBVPG3770_002093-T1,DBVPG3770,Rhodotorula,Rhodotorula dairenensis,DBVPG 3770,62.0,99.8,99.6,0.0,1750.0,True
DBVPG3773_001476-T1,DBVPG3773,Rhodotorula,Rhodotorula dairenensis,DBVPG 3773,62.0,99.8,99.6,0.0,1750.0,True
DBVPG3771_002784-T1,DBVPG3771,Rhodotorula,Rhodotorula dairenensis,DBVPG 3771,62.0,99.8,99.6,0.0,1750.0,True
DBVPG3444_003536-T1,DBVPG3444,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3444,62.6,99.8,99.7,0.0,1750.0,True
DBVPG3769_001453-T1,DBVPG3769,Rhodotorula,Rhodotorula dairenensis,DBVPG 3769,62.0,99.8,99.6,0.0,1750.0,True
TFCN7W2923_002001-T1,TFCN7W2923,Rhodotorula,Rhodotorula dairenensis,TFCN 7W-292-3,62.0,99.8,99.6,0.0,1749.0,True
TFCN1702E3373_005134-T1,TFCN1702E3373,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E337-3,62.0,99.8,99.7,0.0,1741.0,True
TFCN17334D6_010424-T1,TFCN17334D6,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334D-6,62.0,99.8,99.7,0.0,1741.0,True
TFCN17333P6_003081-T1,TFCN17333P6,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-333P-6,62.0,99.8,99.7,0.0,1739.0,True
TFCN2502E3341_010469-T1,TFCN2502E3341,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E334-1,62.0,99.8,99.7,0.0,1739.0,True
OM447_000299-T1,OM447,Rhodotorula,Rhodotorula dairenensis,NRRL Y-2504,61.6,99.8,99.6,0.0,1734.0,True
TFCN86C10_003674-T1,TFCN86C10,Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86C-10,62.3,99.8,99.9,0.0,1731.0,True
TFCN134A3_004486-T1,TFCN134A3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 134A-3,62.3,99.8,99.7,0.0,1727.0,True
DBVPG3853_000391-T1,DBVPG3853,Rhodotorula,Rhodotorula dairenensis,DBVPG 3853,61.5,99.8,99.6,0.0,1726.0,True
TFCN152C6_003361-T1,TFCN152C6,Rhodotorula,Rhodotorula toruloides,TFCN 152C-6,61.6,99.9,100.0,0.0,1723.0,True
TFCN0520421_006227-T1,TFCN0520421,Rhodotorula,Rhodotorula taiwanensis,TFCN 0520-4-2-1,61.6,99.9,100.0,0.0,1723.0,True
TFCN3571_003887-T1,TFCN3571,Rhodotorula,Rhodotorula taiwanensis,TFCN 357-1,61.6,99.9,100.0,0.0,1723.0,True
TFCNS22D1_004234-T1,TFCNS22D1,Rhodotorula,Rhodotorula taiwanensis,TFCN S22D-1,61.6,99.9,100.0,0.0,1723.0,True
TFCN0520422_003224-T1,TFCN0520422,Rhodotorula,Rhodotorula taiwanensis,TFCN 0520-4-2-2,61.6,99.9,100.0,0.0,1723.0,True
TFCN17291Y1_007288-T1,TFCN17291Y1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-291Y-1,61.5,99.8,99.7,0.0,1722.0,True
TFCN1702E3902_010887-T1,TFCN1702E3902,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E390-2,61.6,99.8,99.7,0.0,1721.0,True
TFCN25335Y1_004725-T1,TFCN25335Y1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-335Y-1,61.6,99.8,99.7,0.0,1721.0,True
TFCN86A8_003561-T1,TFCN86A8,Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86A-8,61.8,99.8,99.9,0.0,1718.0,True
TFCN86C9_004734-T1,TFCN86C9,Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86C-9,61.8,99.8,99.9,0.0,1718.0,True
TFCN86A6_005301-T1,TFCN86A6,Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86A-6,61.9,99.8,99.9,0.0,1717.0,True
OM440_005911-T1,OM440,Rhodotorula,Rhodotorula sphaerocarpa,NRRL Y-7192,61.8,99.8,99.9,0.0,1715.0,True
TFCN17332M1_002739-T1,TFCN17332M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332M-1,61.6,99.8,99.7,0.0,1704.0,True
DBVPG3857_012363-T1,DBVPG3857,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3857,63.1,88.5,100.0,0.0,1591.0,True
DBVPG6081_007609-T1,DBVPG6081,Rhodotorula,Rhodotorula glutinis,DBVPG 6081,69.5,70.6,98.0,0.0,1368.0,True
DBVPG6739_003932-T1,DBVPG6739,Rhodotorula,Rhodotorula toruloides,DBVPG 6739,63.1,70.6,98.7,0.0,1238.0,True
DBVPG6740_002504-T1,DBVPG6740,Pseudomicrostroma,Pseudomicrostroma phylloplanum,DBVPG 6740,47.9,99.5,99.2,0.0,1113.0,True
TFCN404D1_014316-T1,TFCN404D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 404D-1,65.1,55.5,99.5,0.0,1043.0,False
TFCN3M11_006832-T1,TFCN3M11,Rhodotorula,Rhodotorula mucilaginosa,TFCN 3M-1-1,65.7,50.3,100.0,0.0,939.0,False
DBVPG4380_004449-T1,DBVPG4380,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4380,61.3,53.6,58.8,1.74e-303,905.0,False
DBVPG4380_005328-T1,DBVPG4380,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4380,66.9,35.5,99.3,1.73e-237,702.0,False
DBVPG10383_008200-T1,DBVPG10383,Rhodotorula,Rhodotorula kratochvilovae,DBVPG 10383,100.0,22.1,100.0,1.7099999999999998e-216,639.0,False
TFCN404D1_009192-T1,TFCN404D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 404D-1,58.9,36.8,100.0,4.48e-194,591.0,False
DBVPG6081_007610-T1,DBVPG6081,Rhodotorula,Rhodotorula glutinis,DBVPG 6081,82.8,21.9,99.4,1.45e-169,517.0,False
DBVPG6739_003931-T1,DBVPG6739,Rhodotorula,Rhodotorula toruloides,DBVPG 6739,74.1,21.9,99.4,9.91e-148,459.0,False
TFCN3M11_011006-T1,TFCN3M11,Rhodotorula,Rhodotorula mucilaginosa,TFCN 3M-1-1,77.9,13.4,100.0,8.37e-101,326.0,False
DBVPG3857_014384-T1,DBVPG3857,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3857,61.8,11.3,97.7,1.23e-53,191.0,False
DBVPG6740_003932-T1,DBVPG6740,Pseudomicrostroma,Pseudomicrostroma phylloplanum,DBVPG 6740,25.8,43.1,43.0,9.49e-18,96.3,False
DBVPG4530_003936-T1,DBVPG4530,Rhodotorula,Rhodotorula taiwanensis,DBVPG 4530,25.7,32.6,32.9,9.6e-18,96.3,False
DBVPG4531_004068-T1,DBVPG4531,Rhodotorula,Rhodotorula taiwanensis,DBVPG 4531,25.6,32.6,32.9,1.43e-16,92.4,False
TFCNS22D1_001109-T1,TFCNS22D1,Rhodotorula,Rhodotorula taiwanensis,TFCN S22D-1,25.6,32.6,32.9,1.43e-16,92.4,False
TFCN0520421_001022-T1,TFCN0520421,Rhodotorula,Rhodotorula taiwanensis,TFCN 0520-4-2-1,25.6,32.6,32.9,1.43e-16,92.4,False
TFCN3571_000542-T1,TFCN3571,Rhodotorula,Rhodotorula taiwanensis,TFCN 357-1,25.6,32.6,32.9,1.43e-16,92.4,False
TFCN0520422_000315-T1,TFCN0520422,Rhodotorula,Rhodotorula taiwanensis,TFCN 0520-4-2-2,25.6,32.6,32.9,1.43e-16,92.4,False
TFCN152C6_000092-T1,TFCN152C6,Rhodotorula,Rhodotorula toruloides,TFCN 152C-6,25.6,32.6,32.9,1.43e-16,92.4,False
DBVPG7316_005653-T1,DBVPG7316,Rhodotorula,Rhodotorula paludigena,DBVPG 7316,24.9,45.2,44.9,1.88e-16,92.0,False
TFCN48A15_003170-T1,TFCN48A15,Rhodotorula,Rhodotorula paludigena,TFCN 48A-15,24.9,45.2,44.9,1.88e-16,92.0,False
TFCN49A1_002627-T1,TFCN49A1,Rhodotorula,Rhodotorula paludigena,TFCN 49A-1,24.9,45.2,44.9,1.88e-16,92.0,False
TFCN48A10_001863-T1,TFCN48A10,Rhodotorula,Rhodotorula paludigena,TFCN 48A-10,24.9,45.2,44.9,1.88e-16,92.0,False
TFCN43A4_000426-T1,TFCN43A4,Rhodotorula,Rhodotorula paludigena,TFCN 43A-4,24.9,45.2,44.9,1.88e-16,92.0,False
TFCN48A2_003435-T1,TFCN48A2,Rhodotorula,Rhodotorula paludigena,TFCN 48A-2,24.9,45.2,44.9,1.88e-16,92.0,False
TFCN48D10_004311-T1,TFCN48D10,Rhodotorula,Rhodotorula paludigena,TFCN 48D-10,24.9,45.2,44.9,1.88e-16,92.0,False
TFCN48C3_001671-T1,TFCN48C3,Rhodotorula,Rhodotorula paludigena,TFCN 48C-3,24.9,45.2,44.9,1.88e-16,92.0,False
TFCN25333P5_003094-T1,TFCN25333P5,Rhodotorula,Rhodotorula paludigena,TFCN 25-333P-5,24.9,45.2,44.9,1.88e-16,92.0,False
TFCN48A3_004513-T1,TFCN48A3,Rhodotorula,Rhodotorula paludigena,TFCN 48A-3,24.9,45.2,44.9,1.88e-16,92.0,False
TFCN48D4_002355-T1,TFCN48D4,Rhodotorula,Rhodotorula paludigena,TFCN 48D-4,24.9,45.2,44.9,1.88e-16,92.0,False
DBVPG7323_002186-T1,DBVPG7323,Rhodotorula,Rhodotorula paludigena,DBVPG 7323,24.2,45.2,44.9,3.23e-16,91.3,False
OM448_003819-T1,OM448,Rhodotorula,Rhodotorula paludigena,NRRL Y-12923,24.2,45.2,44.9,3.23e-16,91.3,False
TFCN3422_001139-T1,TFCN3422,Rhodotorula,Rhodotorula paludigena,TFCN 342-2,24.2,45.2,44.9,3.23e-16,91.3,False
TFCN7W2923_000717-T1,TFCN7W2923,Rhodotorula,Rhodotorula dairenensis,TFCN 7W-292-3,24.2,43.1,42.5,7.27e-16,90.1,False
DBVPG3853_004574-T1,DBVPG3853,Rhodotorula,Rhodotorula dairenensis,DBVPG 3853,24.3,43.1,42.5,1.25e-15,89.4,False
DBVPG3773_001308-T1,DBVPG3773,Rhodotorula,Rhodotorula dairenensis,DBVPG 3773,24.3,43.1,42.5,1.25e-15,89.4,False
DBVPG3769_002480-T1,DBVPG3769,Rhodotorula,Rhodotorula dairenensis,DBVPG 3769,24.3,43.1,42.5,1.25e-15,89.4,False
DBVPG3768_002378-T1,DBVPG3768,Rhodotorula,Rhodotorula dairenensis,DBVPG 3768,24.3,43.1,42.5,1.25e-15,89.4,False
DBVPG3770_002562-T1,DBVPG3770,Rhodotorula,Rhodotorula dairenensis,DBVPG 3770,24.3,43.1,42.5,1.25e-15,89.4,False
DBVPG3771_001690-T1,DBVPG3771,Rhodotorula,Rhodotorula dairenensis,DBVPG 3771,24.3,43.1,42.5,1.25e-15,89.4,False
DBVPG7947_002643-T1,DBVPG7947,Rhodotorula,Rhodotorula sp. clade XIII,DBVPG 7947,25.1,43.1,42.4,1.63e-15,89.0,False
DBVPG4610_001665-T1,DBVPG4610,Rhodotorula,Rhodotorula paludigena,DBVPG 4610,24.5,43.1,42.5,2.14e-15,88.6,False
DBVPG3772_002516-T1,DBVPG3772,Rhodotorula,Rhodotorula dairenensis,DBVPG 3772,25.3,32.6,32.4,2.16e-15,88.6,False
OM449_005439-T1,OM449,Rhodotorula,Rhodotorula araucariae,NRRL Y-17376,24.3,43.4,42.8,2.8e-15,88.2,False
DBVPG10348_006144-T1,DBVPG10348,Rhodotorula,Rhodotorula sp. clade XI,DBVPG 10348,24.3,43.1,42.5,4.83e-15,87.4,False
TFCN186DK32_004431-T1,TFCN186DK32,Rhodotorula,Rhodotorula sp. clade XI,TFCN 186DK3-2,24.3,43.1,42.5,4.83e-15,87.4,False
DBVPG7539_005608-T1,DBVPG7539,Rhodotorula,Rhodotorula kratochvilovae,DBVPG 7539,23.9,43.1,42.5,8.26e-15,86.7,False
TFCN86A8_001537-T1,TFCN86A8,Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86A-8,24.7,37.9,37.7,1.08e-14,86.3,False
TFCN86C9_001791-T1,TFCN86C9,Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86C-9,24.7,37.9,19.8,1.25e-14,86.3,False
OM440_005133-T1,OM440,Rhodotorula,Rhodotorula sphaerocarpa,NRRL Y-7192,24.7,37.9,19.8,2.15e-14,85.5,False
TFCN86A6_001096-T1,TFCN86A6,Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86A-6,24.7,37.9,20.4,2.14e-14,85.5,False
DBVPG10383_007513-T1,DBVPG10383,Rhodotorula,Rhodotorula kratochvilovae,DBVPG 10383,24.9,32.6,33.0,1.86e-14,85.5,False
TFCN86C10_003354-T1,TFCN86C10,Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86C-10,24.7,37.9,19.8,2.15e-14,85.5,False
DBVPG10753_007587-T1,DBVPG10753,Rhodotorula,Rhodotorula kratochvilovae,DBVPG 10753,24.9,32.6,33.0,1.86e-14,85.5,False
OM446_005899-T1,OM446,Rhodotorula,Rhodotorula diobovata,NRRL Y-7196,26.0,32.6,32.6,4.17e-14,84.3,False
TFCN1702E3902_010590-T1,TFCN1702E3902,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E390-2,23.9,43.1,42.5,7.2e-14,83.6,False
DBVPG4534_006136-T1,DBVPG4534,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4534,23.9,43.1,42.5,7.2e-14,83.6,False
DBVPG6739_005394-T1,DBVPG6739,Rhodotorula,Rhodotorula toruloides,DBVPG 6739,25.9,32.6,32.6,7.2e-14,83.6,False
