LOCUSTAG,GENUS,SPECIES,STRAIN,species_prefix,sseqid,pident,qcovhsp,scovhsp,evalue,bitscore,is_ortholog,has_hit,has_ortholog
TFCN17334Y2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334Y-2,TFCN17334Y2,TFCN17334Y2_003451-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN17334Y3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334Y-3,TFCN17334Y3,TFCN17334Y3_003819-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
TFCN17334Y5,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334Y-5,TFCN17334Y5,TFCN17334Y5_008608-T1,62.8,99.8,99.7,0.0,1779.0,True,True,True
TFCN17337P5,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-337P-5,TFCN17337P5,TFCN17337P5_010959-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN17338D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-338D-3,TFCN17338D3,TFCN17338D3_002703-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN17390M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-390M-1,TFCN17390M1,TFCN17390M1_007553-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN172A1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 172A-1,TFCN172A1,TFCN172A1_004903-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN17Y2781,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17Y-278-1,TFCN17Y2781,TFCN17Y2781_006353-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN181A1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 181A-1,TFCN181A1,TFCN181A1_002451-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN1A14,Rhodotorula,Rhodotorula mucilaginosa,TFCN 1A-14,TFCN1A14,TFCN1A14_004938-T1,63.2,99.8,99.7,0.0,1769.0,True,True,True
TFCN20961,Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-1,TFCN20961,TFCN20961_004435-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN209611,Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-11,TFCN209611,TFCN209611_003059-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN209612,Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-12,TFCN209612,TFCN209612_002597-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN209614,Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-14,TFCN209614,TFCN209614_002804-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN209617,Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-17,TFCN209617,TFCN209617_002647-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN20962,Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-2,TFCN20962,TFCN20962_003641-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN20964,Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-4,TFCN20964,TFCN20964_003715-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN20965,Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-5,TFCN20965,TFCN20965_002151-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN211A3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 211A-3,TFCN211A3,TFCN211A3_003766-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
TFCN212C2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 212C-2,TFCN212C2,TFCN212C2_003073-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN21362,Rhodotorula,Rhodotorula mucilaginosa,TFCN 213-6-2,TFCN21362,TFCN21362_003506-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN21364,Rhodotorula,Rhodotorula mucilaginosa,TFCN 213-6-4,TFCN21364,TFCN21364_003028-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN22C4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 22C-4,TFCN22C4,TFCN22C4_008902-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN2502E3321,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E332-1,TFCN2502E3321,TFCN2502E3321_000610-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN2502E3331,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E333-1,TFCN2502E3331,TFCN2502E3331_009020-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN2502E3335,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E333-5,TFCN2502E3335,TFCN2502E3335_003753-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
TFCN2502E3337,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E333-7,TFCN2502E3337,TFCN2502E3337_006570-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN2502E3339,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E333-9,TFCN2502E3339,TFCN2502E3339_006879-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
TFCN2502E3341,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E334-1,TFCN2502E3341,TFCN2502E3341_006256-T1,62.9,99.8,99.7,0.0,1773.0,True,True,True
TFCN2502E3901,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E390-1,TFCN2502E3901,TFCN2502E3901_008799-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN25325Y1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-325Y-1,TFCN25325Y1,TFCN25325Y1_003238-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN25327D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-327D-1,TFCN25327D1,TFCN25327D1_003464-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
TFCN25331D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-331D-1,TFCN25331D1,TFCN25331D1_008657-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN25332C1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-332C-1,TFCN25332C1,TFCN25332C1_003538-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN25332D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-332D-1,TFCN25332D1,TFCN25332D1_003813-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN25332M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-332M-1,TFCN25332M1,TFCN25332M1_003603-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN25332P2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-332P-2,TFCN25332P2,TFCN25332P2_005372-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN25332Y1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-332Y-1,TFCN25332Y1,TFCN25332Y1_003479-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN25333C2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333C-2,TFCN25333C2,TFCN25333C2_004635-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
TFCN25333P2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333P-2,TFCN25333P2,TFCN25333P2_005264-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
TFCN25333Y10,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333Y-10,TFCN25333Y10,TFCN25333Y10_004601-T1,62.8,99.8,99.7,0.0,1779.0,True,True,True
TFCN25333Y9,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333Y-9,TFCN25333Y9,TFCN25333Y9_004697-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
TFCN25334D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-334D-3,TFCN25334D3,TFCN25334D3_000722-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
TFCN25334Y6,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-334Y-6,TFCN25334Y6,TFCN25334Y6_004329-T1,62.8,99.8,99.7,0.0,1779.0,True,True,True
TFCN25335Y1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-335Y-1,TFCN25335Y1,TFCN25335Y1_004725-T1,61.6,99.8,99.7,0.0,1721.0,True,True,True
TFCN25337M3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-337M-3,TFCN25337M3,TFCN25337M3_005460-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN25337Y1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-337Y-1,TFCN25337Y1,TFCN25337Y1_003329-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN25395P1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-395P-1,TFCN25395P1,TFCN25395P1_004682-T1,62.9,99.8,99.7,0.0,1777.0,True,True,True
TFCN270H2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 270H-2,TFCN270H2,TFCN270H2_005904-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
TFCN273H1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 273H-1,TFCN273H1,TFCN273H1_002311-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
TFCN2M14,Rhodotorula,Rhodotorula mucilaginosa,TFCN 2M-1-4,TFCN2M14,TFCN2M14_003390-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
TFCN33A4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 33A-4,TFCN33A4,TFCN33A4_004478-T1,62.8,99.8,99.7,0.0,1779.0,True,True,True
TFCN3401,Rhodotorula,Rhodotorula mucilaginosa,TFCN 340-1,TFCN3401,TFCN3401_003568-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
TFCN3403,Rhodotorula,Rhodotorula mucilaginosa,TFCN 340-3,TFCN3403,TFCN3403_004587-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
TFCN3423,Rhodotorula,Rhodotorula mucilaginosa,TFCN 342-3,TFCN3423,TFCN3423_006015-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN36312,Rhodotorula,Rhodotorula mucilaginosa,TFCN 363-1-2,TFCN36312,TFCN36312_006448-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
TFCN3M11,Rhodotorula,Rhodotorula mucilaginosa,TFCN 3M-1-1,TFCN3M11,TFCN3M11_002694-T1,63.2,99.8,99.7,0.0,1769.0,True,True,True
TFCN404D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 404D-1,TFCN404D1,TFCN404D1_006611-T1,62.6,99.8,99.7,0.0,1771.0,True,True,True
TFCN4M12,Rhodotorula,Rhodotorula mucilaginosa,TFCN 4M-1-2,TFCN4M12,TFCN4M12_003184-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
TFCN4M13,Rhodotorula,Rhodotorula mucilaginosa,TFCN 4M-1-3,TFCN4M13,TFCN4M13_003149-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN4M14,Rhodotorula,Rhodotorula mucilaginosa,TFCN 4M-1-4,TFCN4M14,TFCN4M14_002156-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN4M15,Rhodotorula,Rhodotorula mucilaginosa,TFCN 4M-1-5,TFCN4M15,TFCN4M15_003616-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN54D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 54D-1,TFCN54D1,TFCN54D1_007753-T1,63.0,99.3,72.6,0.0,1768.0,True,True,True
TFCN54D2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 54D-2,TFCN54D2,TFCN54D2_003378-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN86A12,Rhodotorula,Rhodotorula mucilaginosa,TFCN 86A-12,TFCN86A12,TFCN86A12_002037-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN86A3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 86A-3,TFCN86A3,TFCN86A3_000973-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN89D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 89D-3,TFCN89D3,TFCN89D3_002952-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
TFCN98A10,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98A-10,TFCN98A10,TFCN98A10_003494-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
TFCN98A5,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98A-5,TFCN98A5,TFCN98A5_002997-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN98C3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98C-3,TFCN98C3,TFCN98C3_006128-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN98C5,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98C-5,TFCN98C5,TFCN98C5_002541-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN98C7,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98C-7,TFCN98C7,TFCN98C7_002646-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
TFCN98C8,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98C-8,TFCN98C8,TFCN98C8_002865-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN98D11,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98D-11,TFCN98D11,TFCN98D11_004818-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN98D7,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98D-7,TFCN98D7,TFCN98D7_002623-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN98D9,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98D-9,TFCN98D9,TFCN98D9_002459-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN1A13,Rhodotorula,Rhodotorula pacifica,TFCN 1A-1-3,TFCN1A13,TFCN1A13_002498-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN1B12,Rhodotorula,Rhodotorula pacifica,TFCN 1B-1-2,TFCN1B12,TFCN1B12_002363-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG4610,Rhodotorula,Rhodotorula paludigena,DBVPG 4610,DBVPG4610,DBVPG4610_003949-T1,70.3,99.6,99.7,0.0,1982.0,True,True,True
DBVPG7316,Rhodotorula,Rhodotorula paludigena,DBVPG 7316,DBVPG7316,DBVPG7316_007359-T1,71.5,90.6,99.1,0.0,1861.0,True,True,True
DBVPG7323,Rhodotorula,Rhodotorula paludigena,DBVPG 7323,DBVPG7323,DBVPG7323_005634-T1,69.6,99.6,99.7,0.0,1966.0,True,True,True
OM448,Rhodotorula,Rhodotorula paludigena,NRRL Y-12923,OM448,OM448_006643-T1,69.4,97.8,70.0,0.0,1923.0,True,True,True
TFCN1A12,Rhodotorula,Rhodotorula paludigena,TFCN 1A-1-2,TFCN1A12,TFCN1A12_002400-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
TFCN25333P5,Rhodotorula,Rhodotorula paludigena,TFCN 25-333P-5,TFCN25333P5,TFCN25333P5_006933-T1,68.8,99.6,99.7,0.0,1935.0,True,True,True
TFCN3422,Rhodotorula,Rhodotorula paludigena,TFCN 342-2,TFCN3422,TFCN3422_003346-T1,70.0,99.6,99.7,0.0,1972.0,True,True,True
TFCN43A4,Rhodotorula,Rhodotorula paludigena,TFCN 43A-4,TFCN43A4,TFCN43A4_007072-T1,69.6,99.6,99.7,0.0,1965.0,True,True,True
TFCN48A10,Rhodotorula,Rhodotorula paludigena,TFCN 48A-10,TFCN48A10,TFCN48A10_006278-T1,71.4,92.0,97.9,0.0,1873.0,True,True,True
TFCN48A15,Rhodotorula,Rhodotorula paludigena,TFCN 48A-15,TFCN48A15,TFCN48A15_004372-T1,69.6,99.6,99.7,0.0,1965.0,True,True,True
TFCN48A2,Rhodotorula,Rhodotorula paludigena,TFCN 48A-2,TFCN48A2,TFCN48A2_004518-T1,71.5,90.6,99.2,0.0,1861.0,True,True,True
TFCN48A3,Rhodotorula,Rhodotorula paludigena,TFCN 48A-3,TFCN48A3,TFCN48A3_003761-T1,71.4,92.0,97.9,0.0,1873.0,True,True,True
TFCN48C3,Rhodotorula,Rhodotorula paludigena,TFCN 48C-3,TFCN48C3,TFCN48C3_007350-T1,69.7,99.6,99.7,0.0,1967.0,True,True,True
TFCN48D10,Rhodotorula,Rhodotorula paludigena,TFCN 48D-10,TFCN48D10,TFCN48D10_007191-T1,69.7,99.6,99.7,0.0,1967.0,True,True,True
TFCN48D4,Rhodotorula,Rhodotorula paludigena,TFCN 48D-4,TFCN48D4,TFCN48D4_003086-T1,69.7,99.6,99.7,0.0,1967.0,True,True,True
TFCN49A1,Rhodotorula,Rhodotorula paludigena,TFCN 49A-1,TFCN49A1,TFCN49A1_006994-T1,69.6,99.6,99.7,0.0,1965.0,True,True,True
DBVPG8058,Rhodotorula,Rhodotorula sp. clade I,DBVPG 8058,DBVPG8058,DBVPG8058_002045-T1,71.3,99.9,99.9,0.0,2015.0,True,True,True
TFCN17328C3,Rhodotorula,Rhodotorula sp. clade I,TFCN 17-328C-3,TFCN17328C3,TFCN17328C3_006089-T1,72.3,99.9,99.9,0.0,2048.0,True,True,True
TFCN17328P3,Rhodotorula,Rhodotorula sp. clade I,TFCN 17-328P-3,TFCN17328P3,TFCN17328P3_005454-T1,72.3,99.9,99.9,0.0,2048.0,True,True,True
TFCN222A2,Rhodotorula,Rhodotorula sp. clade I,TFCN 222A-2,TFCN222A2,TFCN222A2_002137-T1,72.3,99.9,99.9,0.0,2048.0,True,True,True
TFCN25333D1,Rhodotorula,Rhodotorula sp. clade I,TFCN 25-333D-1,TFCN25333D1,TFCN25333D1_001730-T1,72.5,99.9,99.9,0.0,2058.0,True,True,True
TFCN25333D5,Rhodotorula,Rhodotorula sp. clade I,TFCN 25-333D-5,TFCN25333D5,TFCN25333D5_004201-T1,72.3,99.9,99.9,0.0,2048.0,True,True,True
TFCN25333Y2,Rhodotorula,Rhodotorula sp. clade I,TFCN 25-333Y-2,TFCN25333Y2,TFCN25333Y2_005385-T1,72.3,99.9,99.9,0.0,2048.0,True,True,True
TFCN86C7,Rhodotorula,Rhodotorula sp. clade I,TFCN 86C-7,TFCN86C7,TFCN86C7_002873-T1,72.3,99.9,99.9,0.0,2048.0,True,True,True
DBVPG7947,Rhodotorula,Rhodotorula sp. clade XIII,DBVPG 7947,DBVPG7947,DBVPG7947_005393-T1,74.4,99.8,99.9,0.0,2129.0,True,True,True
DBVPG10348,Rhodotorula,Rhodotorula sp. clade XI,DBVPG 10348,DBVPG10348,DBVPG10348_001816-T1,62.2,99.8,99.7,0.0,1758.0,True,True,True
TFCN186DK32,Rhodotorula,Rhodotorula sp. clade XI,TFCN 186DK3-2,TFCN186DK32,TFCN186DK32_002050-T1,62.2,99.8,99.7,0.0,1758.0,True,True,True
OM440,Rhodotorula,Rhodotorula sphaerocarpa,NRRL Y-7192,OM440,OM440_005911-T1,61.8,99.8,99.9,0.0,1715.0,True,True,True
TFCN86A6,Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86A-6,TFCN86A6,TFCN86A6_005301-T1,61.9,99.8,99.9,0.0,1717.0,True,True,True
TFCN86A8,Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86A-8,TFCN86A8,TFCN86A8_003561-T1,61.8,99.8,99.9,0.0,1718.0,True,True,True
TFCN86C10,Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86C-10,TFCN86C10,TFCN86C10_003674-T1,62.3,99.8,99.9,0.0,1731.0,True,True,True
TFCN86C9,Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86C-9,TFCN86C9,TFCN86C9_004734-T1,61.8,99.8,99.9,0.0,1718.0,True,True,True
DBVPG4530,Rhodotorula,Rhodotorula taiwanensis,DBVPG 4530,DBVPG4530,DBVPG4530_003287-T1,62.3,99.7,99.7,0.0,1751.0,True,True,True
DBVPG4531,Rhodotorula,Rhodotorula taiwanensis,DBVPG 4531,DBVPG4531,DBVPG4531_002390-T1,62.1,99.9,100.0,0.0,1755.0,True,True,True
TFCN0520421,Rhodotorula,Rhodotorula taiwanensis,TFCN 0520-4-2-1,TFCN0520421,TFCN0520421_006227-T1,61.6,99.9,100.0,0.0,1723.0,True,True,True
TFCN0520422,Rhodotorula,Rhodotorula taiwanensis,TFCN 0520-4-2-2,TFCN0520422,TFCN0520422_003224-T1,61.6,99.9,100.0,0.0,1723.0,True,True,True
TFCN3571,Rhodotorula,Rhodotorula taiwanensis,TFCN 357-1,TFCN3571,TFCN3571_003887-T1,61.6,99.9,100.0,0.0,1723.0,True,True,True
TFCNS22D1,Rhodotorula,Rhodotorula taiwanensis,TFCN S22D-1,TFCNS22D1,TFCNS22D1_004234-T1,61.6,99.9,100.0,0.0,1723.0,True,True,True
DBVPG6121,Rhodotorula,Rhodotorula toruloides,DBVPG 6121,DBVPG6121,DBVPG6121_002960-T1,65.0,99.8,99.9,0.0,1839.0,True,True,True
DBVPG6739,Rhodotorula,Rhodotorula toruloides,DBVPG 6739,DBVPG6739,DBVPG6739_003932-T1,63.1,70.6,98.7,0.0,1238.0,True,True,True
TFCN152A4,Rhodotorula,Rhodotorula toruloides,TFCN 152A-4,TFCN152A4,TFCN152A4_003461-T1,66.5,99.8,99.9,0.0,1892.0,True,True,True
TFCN152A6,Rhodotorula,Rhodotorula toruloides,TFCN 152A-6,TFCN152A6,TFCN152A6_003866-T1,66.1,99.8,99.9,0.0,1882.0,True,True,True
TFCN152C3,Rhodotorula,Rhodotorula toruloides,TFCN 152C-3,TFCN152C3,TFCN152C3_003715-T1,66.1,99.8,99.9,0.0,1882.0,True,True,True
TFCN152C6,Rhodotorula,Rhodotorula toruloides,TFCN 152C-6,TFCN152C6,TFCN152C6_003361-T1,61.6,99.9,100.0,0.0,1723.0,True,True,True
TFCN152D4,Rhodotorula,Rhodotorula toruloides,TFCN 152D-4,TFCN152D4,TFCN152D4_001822-T1,66.5,99.8,99.9,0.0,1892.0,True,True,True
TFCN152D6,Rhodotorula,Rhodotorula toruloides,TFCN 152D-6,TFCN152D6,TFCN152D6_003465-T1,66.5,99.8,99.9,0.0,1892.0,True,True,True
