GENUS,SPECIES,STRAIN,crtO,crtP,crtQ,crtR,crt_fungal_lcy,crt_fungal_pds,crt_fungal_psy,hgd,laccase,mysA,mysC,mysD,mysE,pks_melanin,scyA,t3hnr,t4hnr,tyrosinase
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-337M-3,1,7,0,0,2,1,2,0,5,1,0,0,14,23,2,26,42,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-337Y-1,1,6,0,0,2,1,2,0,4,1,0,0,12,22,1,21,39,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-395P-1,1,7,0,0,2,1,2,0,4,1,0,0,14,21,2,24,43,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 270H-2,1,7,0,0,2,1,2,0,4,1,0,0,14,21,2,26,44,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 273H-1,1,7,0,0,2,1,2,0,4,1,0,0,14,24,1,25,42,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 2M-1-4,1,7,0,0,2,1,2,0,4,1,0,0,14,21,1,25,43,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 33A-4,1,8,1,0,2,2,2,0,4,1,0,0,14,22,2,23,42,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 340-1,1,6,0,0,2,1,2,0,4,1,0,0,14,22,1,25,41,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 340-3,1,7,0,0,2,1,2,0,4,1,0,0,14,23,1,25,43,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 342-3,1,7,0,0,2,1,2,0,4,1,0,0,14,23,2,26,45,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 363-1-2,1,7,0,0,2,2,2,0,4,1,0,0,14,22,2,26,43,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 3M-1-1,1,7,2,0,3,2,3,0,8,1,0,0,18,26,3,34,57,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 404D-1,2,14,0,0,4,2,4,0,9,2,0,0,30,46,4,50,87,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 4M-1-2,1,6,0,0,2,1,2,0,4,1,0,0,12,22,1,20,37,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 4M-1-3,1,7,0,0,2,1,2,0,5,1,0,0,14,22,1,25,43,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 4M-1-4,1,7,0,0,2,1,2,0,4,1,0,0,14,22,2,26,45,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 4M-1-5,1,7,0,0,2,1,2,0,5,1,0,0,14,23,1,25,43,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 54D-1,2,15,0,0,4,3,4,0,8,2,0,0,27,43,4,50,83,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 54D-2,1,7,0,0,2,1,2,0,5,1,0,0,12,22,2,22,40,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 86A-12,1,7,0,0,2,1,2,0,4,1,0,0,14,22,2,26,43,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 86A-3,1,7,0,0,2,1,2,0,5,1,0,0,14,22,2,26,44,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 89D-3,1,7,0,0,2,1,2,0,4,1,0,0,14,23,2,26,42,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 98A-10,1,7,0,0,2,1,2,0,4,1,0,0,15,23,1,25,42,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 98A-5,1,7,0,0,2,1,2,0,4,1,0,0,14,23,1,25,42,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 98C-3,1,7,0,0,2,1,2,0,4,1,0,0,14,23,1,25,43,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 98C-5,1,7,0,0,2,1,2,0,6,1,0,0,14,22,2,25,43,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 98C-7,1,7,0,0,2,1,2,0,4,1,0,0,14,23,1,25,42,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 98C-8,1,7,0,0,2,1,2,0,5,0,0,0,14,23,1,25,44,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 98D-11,1,7,0,0,2,1,2,0,4,1,0,0,14,22,2,26,45,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 98D-7,1,7,0,0,2,1,2,0,5,1,0,0,14,23,1,25,44,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 98D-9,1,7,0,0,2,1,2,0,4,1,0,0,14,23,1,25,43,0
Rhodotorula,Rhodotorula pacifica,TFCN 1A-1-3,1,7,0,0,2,1,2,0,5,1,0,0,14,23,1,25,44,0
Rhodotorula,Rhodotorula pacifica,TFCN 1B-1-2,1,7,0,0,2,1,2,0,4,1,0,0,14,23,1,26,43,0
Rhodotorula,Rhodotorula paludigena,DBVPG 4610,1,12,1,1,2,1,2,1,3,1,0,0,15,25,1,34,49,0
Rhodotorula,Rhodotorula paludigena,DBVPG 7316,1,10,2,1,2,1,2,1,3,1,0,0,15,28,1,33,54,0
Rhodotorula,Rhodotorula paludigena,DBVPG 7323,1,11,2,1,2,1,2,1,3,1,0,0,15,27,1,31,49,0
Rhodotorula,Rhodotorula paludigena,NRRL Y-12923,1,10,2,1,2,1,2,1,3,1,0,0,15,26,1,33,51,0
Rhodotorula,Rhodotorula paludigena,TFCN 1A-1-2,1,7,0,0,2,2,2,0,4,1,0,0,14,23,1,25,42,0
Rhodotorula,Rhodotorula paludigena,TFCN 25-333P-5,1,11,2,1,2,1,2,1,3,1,0,0,15,29,1,31,52,0
Rhodotorula,Rhodotorula paludigena,TFCN 342-2,1,11,2,1,2,1,2,1,3,1,0,0,15,31,1,36,54,0
Rhodotorula,Rhodotorula paludigena,TFCN 43A-4,1,11,2,1,2,1,2,1,3,1,0,0,15,28,1,33,54,0
Rhodotorula,Rhodotorula paludigena,TFCN 48A-10,1,11,2,1,2,1,2,1,3,1,0,0,15,28,1,32,52,0
Rhodotorula,Rhodotorula paludigena,TFCN 48A-15,1,11,2,1,2,1,2,1,3,1,0,0,14,29,1,33,56,0
Rhodotorula,Rhodotorula paludigena,TFCN 48A-2,1,10,1,1,2,1,2,1,3,1,0,0,15,29,1,33,55,0
Rhodotorula,Rhodotorula paludigena,TFCN 48A-3,1,11,2,1,2,1,2,1,3,1,0,0,15,27,1,33,52,0
Rhodotorula,Rhodotorula paludigena,TFCN 48C-3,1,11,2,1,2,1,2,1,3,1,0,0,15,28,1,31,51,0
Rhodotorula,Rhodotorula paludigena,TFCN 48D-10,1,11,2,1,2,1,2,1,3,1,0,0,15,29,1,33,53,0
Rhodotorula,Rhodotorula paludigena,TFCN 48D-4,1,10,1,1,2,1,2,1,3,1,0,0,15,27,1,31,53,0
Rhodotorula,Rhodotorula paludigena,TFCN 49A-1,1,11,2,1,2,1,2,1,3,1,0,0,15,28,1,32,53,0
Rhodotorula,Rhodotorula sp. clade I,DBVPG 8058,2,8,1,0,2,1,2,0,2,1,0,0,17,26,1,26,44,0
Rhodotorula,Rhodotorula sp. clade I,TFCN 17-328C-3,1,8,1,0,2,1,2,0,2,1,0,0,17,25,1,27,42,0
Rhodotorula,Rhodotorula sp. clade I,TFCN 17-328P-3,1,8,1,0,2,1,2,0,2,1,0,0,17,25,1,26,43,0
Rhodotorula,Rhodotorula sp. clade I,TFCN 222A-2,2,8,1,0,2,1,2,0,3,1,0,0,17,25,1,26,43,0
Rhodotorula,Rhodotorula sp. clade I,TFCN 25-333D-1,1,8,1,0,2,1,2,0,3,1,0,0,17,23,1,26,44,0
Rhodotorula,Rhodotorula sp. clade I,TFCN 25-333D-5,2,8,1,0,2,1,2,0,3,1,0,0,17,24,1,26,44,0
Rhodotorula,Rhodotorula sp. clade I,TFCN 25-333Y-2,2,8,1,0,2,1,2,0,3,1,0,0,17,24,1,26,45,0
Rhodotorula,Rhodotorula sp. clade I,TFCN 86C-7,2,8,1,0,2,1,2,0,2,1,0,0,17,25,1,26,43,0
Rhodotorula,Rhodotorula sp. clade XIII,DBVPG 7947,1,8,0,0,2,2,2,1,2,1,0,0,15,22,1,26,41,0
Rhodotorula,Rhodotorula sp. clade XI,DBVPG 10348,1,7,1,1,2,1,2,0,2,1,0,0,14,24,2,18,33,0
Rhodotorula,Rhodotorula sp. clade XI,TFCN 186DK3-2,1,7,1,1,2,1,2,0,2,1,0,0,14,23,2,19,35,0
Rhodotorula,Rhodotorula sphaerocarpa,NRRL Y-7192,1,8,1,1,2,1,2,0,10,1,0,0,13,20,1,20,37,0
Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86A-6,1,8,2,1,2,1,2,0,5,1,0,0,13,18,1,21,36,0
Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86A-8,1,8,2,1,2,1,2,0,4,1,0,0,13,20,1,21,37,0
Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86C-10,1,8,1,1,2,1,2,0,4,1,0,0,13,20,1,22,36,0
Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86C-9,1,8,2,1,2,1,2,0,4,1,0,0,13,21,1,20,36,0
Rhodotorula,Rhodotorula taiwanensis,DBVPG 4530,1,8,0,1,2,2,2,0,6,0,0,0,14,26,1,26,46,0
Rhodotorula,Rhodotorula taiwanensis,DBVPG 4531,1,10,1,1,2,2,2,0,3,1,0,0,14,26,1,26,46,0
Rhodotorula,Rhodotorula taiwanensis,TFCN 0520-4-2-1,1,8,1,1,2,2,2,0,3,1,0,0,14,25,1,24,43,0
Rhodotorula,Rhodotorula taiwanensis,TFCN 0520-4-2-2,1,8,1,1,2,2,2,0,3,1,0,0,14,26,1,24,43,0
Rhodotorula,Rhodotorula taiwanensis,TFCN 357-1,1,9,1,1,2,2,2,0,3,1,0,0,14,26,1,24,42,0
Rhodotorula,Rhodotorula taiwanensis,TFCN S22D-1,1,8,1,1,2,2,2,0,3,1,0,0,14,25,1,24,41,0
Rhodotorula,Rhodotorula toruloides,DBVPG 6121,1,9,0,0,2,2,2,1,5,1,0,0,15,24,1,30,51,0
Rhodotorula,Rhodotorula toruloides,DBVPG 6739,1,10,0,0,2,1,2,1,6,1,0,0,17,24,1,31,53,0
Rhodotorula,Rhodotorula toruloides,TFCN 152A-4,1,8,0,0,2,1,2,1,6,1,0,0,15,23,1,26,47,0
Rhodotorula,Rhodotorula toruloides,TFCN 152A-6,1,9,0,0,2,1,2,1,6,1,0,0,15,24,1,27,51,0
Rhodotorula,Rhodotorula toruloides,TFCN 152C-3,1,10,0,0,2,1,2,1,6,1,0,0,15,25,1,28,51,0
Rhodotorula,Rhodotorula toruloides,TFCN 152C-6,1,7,1,1,2,2,2,0,3,1,0,0,14,25,1,24,43,0
Rhodotorula,Rhodotorula toruloides,TFCN 152D-4,1,9,0,0,2,1,2,1,6,1,0,0,16,23,1,27,51,0
Rhodotorula,Rhodotorula toruloides,TFCN 152D-6,1,10,0,0,2,1,2,1,6,1,0,0,15,26,1,28,49,0
