accession,entry_name,protein_name,gene_name,gene_synonyms,organism,go_terms,ec_numbers,interpro,pfam
Q6GDN7,CRTN_STAAR,"4,4'-diapophytoene desaturase (4,4'-diaponeurosporene-forming)",crtN,,Staphylococcus aureus (strain MRSA252),"GO:0102223 (F:4,4'-diapophytoene desaturase (4,4'-diaponeurosporene-forming) activity); GO:0016117 (P:carotenoid biosynthetic process)",1.3.8,IPR002937 (Amino_oxidase); IPR014105 (Carotenoid/retinoid_OxRdtase); IPR036188 (FAD/NAD-bd_sf),PF01593 (Amino_oxidase)
Q6G6B3,CRTN_STAAS,"4,4'-diapophytoene desaturase (4,4'-diaponeurosporene-forming)",crtN,,Staphylococcus aureus (strain MSSA476),"GO:0102223 (F:4,4'-diapophytoene desaturase (4,4'-diaponeurosporene-forming) activity); GO:0016117 (P:carotenoid biosynthetic process)",1.3.8,IPR002937 (Amino_oxidase); IPR014105 (Carotenoid/retinoid_OxRdtase); IPR036188 (FAD/NAD-bd_sf),PF01593 (Amino_oxidase)
Q8NUQ6,CRTN_STAAW,"4,4'-diapophytoene desaturase (4,4'-diaponeurosporene-forming)",crtN,,Staphylococcus aureus (strain MW2),"GO:0102223 (F:4,4'-diapophytoene desaturase (4,4'-diaponeurosporene-forming) activity); GO:0016117 (P:carotenoid biosynthetic process)",1.3.8,IPR002937 (Amino_oxidase); IPR014105 (Carotenoid/retinoid_OxRdtase); IPR036188 (FAD/NAD-bd_sf),PF01593 (Amino_oxidase)
Q4L975,CRTN_STAHJ,"4,4'-diapophytoene desaturase (4,4'-diaponeurosporene-forming)",crtN,,Staphylococcus haemolyticus (strain JCSC1435),"GO:0102223 (F:4,4'-diapophytoene desaturase (4,4'-diaponeurosporene-forming) activity); GO:0016117 (P:carotenoid biosynthetic process)",1.3.8,IPR002937 (Amino_oxidase); IPR014105 (Carotenoid/retinoid_OxRdtase); IPR036188 (FAD/NAD-bd_sf),PF01593 (Amino_oxidase)
Q2FDU2,CRTO_STAA3,"Glycosyl-4,4'-diaponeurosporenoate acyltransferase",crtO,,Staphylococcus aureus (strain USA300),GO:0005886 (C:plasma membrane); GO:0016746 (F:acyltransferase activity); GO:0016117 (P:carotenoid biosynthetic process),2.3.1,IPR044021 (CrtO),PF18927 (CrtO)
Q2FV56,CRTO_STAA8,"Glycosyl-4,4'-diaponeurosporenoate acyltransferase",crtO,,Staphylococcus aureus (strain NCTC 8325 / PS 47),GO:0005886 (C:plasma membrane); GO:0016746 (F:acyltransferase activity); GO:0016117 (P:carotenoid biosynthetic process),2.3.1,IPR044021 (CrtO),PF18927 (CrtO)
Q2YWE4,CRTO_STAAB,"Glycosyl-4,4'-diaponeurosporenoate acyltransferase",crtO,,Staphylococcus aureus (strain bovine RF122 / ET3-1),GO:0005886 (C:plasma membrane); GO:0016746 (F:acyltransferase activity); GO:0016117 (P:carotenoid biosynthetic process),2.3.1,IPR044021 (CrtO),PF18927 (CrtO)
Q5HCY5,CRTO_STAAC,"Glycosyl-4,4'-diaponeurosporenoate acyltransferase",crtO,,Staphylococcus aureus (strain COL),GO:0005886 (C:plasma membrane); GO:0016746 (F:acyltransferase activity); GO:0016117 (P:carotenoid biosynthetic process),2.3.1,IPR044021 (CrtO),PF18927 (CrtO)
Q53588,CRTO_STAAE,"Glycosyl-4,4'-diaponeurosporenoate acyltransferase",crtO,,Staphylococcus aureus (strain Newman),GO:0005886 (C:plasma membrane); GO:0016746 (F:acyltransferase activity); GO:0016117 (P:carotenoid biosynthetic process),2.3.1,IPR044021 (CrtO),PF18927 (CrtO)
Q99R72,CRTO_STAAM,"Glycosyl-4,4'-diaponeurosporenoate acyltransferase",crtO,,Staphylococcus aureus (strain Mu50 / ATCC 700699),GO:0005886 (C:plasma membrane); GO:0016746 (F:acyltransferase activity); GO:0016117 (P:carotenoid biosynthetic process),2.3.1,IPR044021 (CrtO),PF18927 (CrtO)
Q7A3D8,CRTO_STAAN,"Glycosyl-4,4'-diaponeurosporenoate acyltransferase",crtO,,Staphylococcus aureus (strain N315),GO:0005886 (C:plasma membrane); GO:0016746 (F:acyltransferase activity); GO:0016117 (P:carotenoid biosynthetic process),2.3.1,IPR044021 (CrtO),PF18927 (CrtO)
Q6GDN4,CRTO_STAAR,"Glycosyl-4,4'-diaponeurosporenoate acyltransferase",crtO,,Staphylococcus aureus (strain MRSA252),GO:0005886 (C:plasma membrane); GO:0016746 (F:acyltransferase activity); GO:0016117 (P:carotenoid biosynthetic process),2.3.1,IPR044021 (CrtO),PF18927 (CrtO)
Q6G6A9,CRTO_STAAS,"Glycosyl-4,4'-diaponeurosporenoate acyltransferase",crtO,,Staphylococcus aureus (strain MSSA476),GO:0005886 (C:plasma membrane); GO:0016746 (F:acyltransferase activity); GO:0016117 (P:carotenoid biosynthetic process),2.3.1,IPR044021 (CrtO),PF18927 (CrtO)
Q8NUQ2,CRTO_STAAW,"Glycosyl-4,4'-diaponeurosporenoate acyltransferase",crtO,,Staphylococcus aureus (strain MW2),GO:0005886 (C:plasma membrane); GO:0016746 (F:acyltransferase activity); GO:0016117 (P:carotenoid biosynthetic process),2.3.1,IPR044021 (CrtO),PF18927 (CrtO)
Q4L979,CRTO_STAHJ,"Glycosyl-4,4'-diaponeurosporenoate acyltransferase",crtO,,Staphylococcus haemolyticus (strain JCSC1435),GO:0005886 (C:plasma membrane); GO:0016746 (F:acyltransferase activity); GO:0016117 (P:carotenoid biosynthetic process),2.3.1,IPR044021 (CrtO),PF18927 (CrtO)
Q9GSB0,CRTP1_DICDI,Crt homolog 1,crtp1,ssa662,Dictyostelium discoideum (Social amoeba),GO:0005774 (C:vacuolar membrane); GO:0012506 (C:vesicle membrane); GO:0042910 (F:xenobiotic transmembrane transporter activity); GO:0006865 (P:amino acid transport),,IPR013936 (CRT-like); IPR037185 (EmrE-like); IPR017258 (Transprt_Chloroquine),PF08627 (CRT-like)
Q550A6,CRTP2_DICDI,Crt homolog 2,crtp2,,Dictyostelium discoideum (Social amoeba),GO:0005774 (C:vacuolar membrane); GO:0042910 (F:xenobiotic transmembrane transporter activity); GO:0006865 (P:amino acid transport),,IPR013936 (CRT-like); IPR037185 (EmrE-like); IPR017258 (Transprt_Chloroquine),PF08627 (CRT-like)
Q55C66,CRTP3_DICDI,Crt homolog 3,crtp3,,Dictyostelium discoideum (Social amoeba),GO:0005774 (C:vacuolar membrane); GO:0042910 (F:xenobiotic transmembrane transporter activity); GO:0006865 (P:amino acid transport),,IPR013936 (CRT-like); IPR037185 (EmrE-like); IPR017258 (Transprt_Chloroquine),PF08627 (CRT-like)
Q4VKU9,CRTP_METSP,"4,4'-diapolycopene oxygenase",crtNb,,Methylomonas sp,GO:0016491 (F:oxidoreductase activity); GO:0016117 (P:carotenoid biosynthetic process),1.14.99.44; 1.14.99,IPR002937 (Amino_oxidase); IPR014105 (Carotenoid/retinoid_OxRdtase); IPR036188 (FAD/NAD-bd_sf),PF01593 (Amino_oxidase)
Q2FDU3,CRTP_STAA3,"4,4'-diaponeurosporene oxygenase",crtP,,Staphylococcus aureus (strain USA300),GO:0016491 (F:oxidoreductase activity); GO:0016117 (P:carotenoid biosynthetic process),1.14.99,IPR002937 (Amino_oxidase); IPR014105 (Carotenoid/retinoid_OxRdtase); IPR036188 (FAD/NAD-bd_sf),PF01593 (Amino_oxidase)
Q2FV57,CRTP_STAA8,"4,4'-diaponeurosporene oxygenase",crtP,crtNb,Staphylococcus aureus (strain NCTC 8325 / PS 47),GO:0016491 (F:oxidoreductase activity); GO:0016117 (P:carotenoid biosynthetic process),1.14.99,IPR002937 (Amino_oxidase); IPR014105 (Carotenoid/retinoid_OxRdtase); IPR036188 (FAD/NAD-bd_sf),PF01593 (Amino_oxidase)
Q2YWE5,CRTP_STAAB,"4,4'-diaponeurosporene oxygenase",crtP,,Staphylococcus aureus (strain bovine RF122 / ET3-1),GO:0016491 (F:oxidoreductase activity); GO:0016117 (P:carotenoid biosynthetic process),1.14.99,IPR002937 (Amino_oxidase); IPR014105 (Carotenoid/retinoid_OxRdtase); IPR036188 (FAD/NAD-bd_sf),PF01593 (Amino_oxidase)
Q5HCY6,CRTP_STAAC,"4,4'-diaponeurosporene oxygenase",crtP,,Staphylococcus aureus (strain COL),GO:0016491 (F:oxidoreductase activity); GO:0016117 (P:carotenoid biosynthetic process),1.14.99,IPR002937 (Amino_oxidase); IPR014105 (Carotenoid/retinoid_OxRdtase); IPR036188 (FAD/NAD-bd_sf),PF01593 (Amino_oxidase)
Q53589,CRTP_STAAE,"4,4'-diaponeurosporene oxygenase",crtP,,Staphylococcus aureus (strain Newman),GO:0016491 (F:oxidoreductase activity); GO:0016117 (P:carotenoid biosynthetic process),1.14.99,IPR002937 (Amino_oxidase); IPR014105 (Carotenoid/retinoid_OxRdtase); IPR036188 (FAD/NAD-bd_sf),PF01593 (Amino_oxidase)
Q99R73,CRTP_STAAM,"4,4'-diaponeurosporene oxygenase",crtP,CrtOx,Staphylococcus aureus (strain Mu50 / ATCC 700699),GO:0016491 (F:oxidoreductase activity); GO:0016117 (P:carotenoid biosynthetic process),1.14.99,IPR002937 (Amino_oxidase); IPR014105 (Carotenoid/retinoid_OxRdtase); IPR036188 (FAD/NAD-bd_sf),PF01593 (Amino_oxidase)
Q7A3D9,CRTP_STAAN,"4,4'-diaponeurosporene oxygenase",crtP,,Staphylococcus aureus (strain N315),GO:0016491 (F:oxidoreductase activity); GO:0016117 (P:carotenoid biosynthetic process),1.14.99,IPR002937 (Amino_oxidase); IPR014105 (Carotenoid/retinoid_OxRdtase); IPR036188 (FAD/NAD-bd_sf),PF01593 (Amino_oxidase)
Q6GDN5,CRTP_STAAR,"4,4'-diaponeurosporene oxygenase",crtP,,Staphylococcus aureus (strain MRSA252),GO:0016491 (F:oxidoreductase activity); GO:0016117 (P:carotenoid biosynthetic process),1.14.99,IPR002937 (Amino_oxidase); IPR014105 (Carotenoid/retinoid_OxRdtase); IPR036188 (FAD/NAD-bd_sf),PF01593 (Amino_oxidase)
Q6G6B0,CRTP_STAAS,"4,4'-diaponeurosporene oxygenase",crtP,,Staphylococcus aureus (strain MSSA476),GO:0016491 (F:oxidoreductase activity); GO:0016117 (P:carotenoid biosynthetic process),1.14.99,IPR002937 (Amino_oxidase); IPR014105 (Carotenoid/retinoid_OxRdtase); IPR036188 (FAD/NAD-bd_sf),PF01593 (Amino_oxidase)
Q8NUQ3,CRTP_STAAW,"4,4'-diaponeurosporene oxygenase",crtP,,Staphylococcus aureus (strain MW2),GO:0016491 (F:oxidoreductase activity); GO:0016117 (P:carotenoid biosynthetic process),1.14.99,IPR002937 (Amino_oxidase); IPR014105 (Carotenoid/retinoid_OxRdtase); IPR036188 (FAD/NAD-bd_sf),PF01593 (Amino_oxidase)
Q4L978,CRTP_STAHJ,"4,4'-diaponeurosporene oxygenase",crtP,,Staphylococcus haemolyticus (strain JCSC1435),GO:0016491 (F:oxidoreductase activity); GO:0016117 (P:carotenoid biosynthetic process),1.14.99,IPR002937 (Amino_oxidase); IPR014105 (Carotenoid/retinoid_OxRdtase); IPR036188 (FAD/NAD-bd_sf),PF01593 (Amino_oxidase)
Q2FDU4,CRTQ_STAA3,"4,4'-diaponeurosporenoate glycosyltransferase",crtQ,,Staphylococcus aureus (strain USA300),GO:0005886 (C:plasma membrane); GO:0016757 (F:glycosyltransferase activity); GO:0016117 (P:carotenoid biosynthetic process),2.4.1,IPR001173 (Glyco_trans_2-like); IPR029044 (Nucleotide-diphossugar_trans),PF00535 (Glycos_transf_2)
Q2FV58,CRTQ_STAA8,"4,4'-diaponeurosporenoate glycosyltransferase",crtQ,,Staphylococcus aureus (strain NCTC 8325 / PS 47),GO:0005886 (C:plasma membrane); GO:0046527 (F:glucosyltransferase activity); GO:0016117 (P:carotenoid biosynthetic process),2.4.1,IPR001173 (Glyco_trans_2-like); IPR029044 (Nucleotide-diphossugar_trans),PF00535 (Glycos_transf_2)
Q2YWE6,CRTQ_STAAB,"4,4'-diaponeurosporenoate glycosyltransferase",crtQ,,Staphylococcus aureus (strain bovine RF122 / ET3-1),GO:0005886 (C:plasma membrane); GO:0016757 (F:glycosyltransferase activity); GO:0016117 (P:carotenoid biosynthetic process),2.4.1,IPR001173 (Glyco_trans_2-like); IPR029044 (Nucleotide-diphossugar_trans),PF00535 (Glycos_transf_2)
Q5HCY7,CRTQ_STAAC,"4,4'-diaponeurosporenoate glycosyltransferase",crtQ,,Staphylococcus aureus (strain COL),GO:0005886 (C:plasma membrane); GO:0016757 (F:glycosyltransferase activity); GO:0016117 (P:carotenoid biosynthetic process),2.4.1,IPR001173 (Glyco_trans_2-like); IPR029044 (Nucleotide-diphossugar_trans),PF00535 (Glycos_transf_2)
Q53590,CRTQ_STAAE,"4,4'-diaponeurosporenoate glycosyltransferase",crtQ,,Staphylococcus aureus (strain Newman),GO:0005886 (C:plasma membrane); GO:0016757 (F:glycosyltransferase activity); GO:0016117 (P:carotenoid biosynthetic process),2.4.1,IPR001173 (Glyco_trans_2-like); IPR029044 (Nucleotide-diphossugar_trans),PF00535 (Glycos_transf_2)
Q99R74,CRTQ_STAAM,"4,4'-diaponeurosporenoate glycosyltransferase",crtQ,,Staphylococcus aureus (strain Mu50 / ATCC 700699),GO:0005886 (C:plasma membrane); GO:0016757 (F:glycosyltransferase activity); GO:0016117 (P:carotenoid biosynthetic process),2.4.1,IPR001173 (Glyco_trans_2-like); IPR029044 (Nucleotide-diphossugar_trans),PF00535 (Glycos_transf_2)
Q7A3E0,CRTQ_STAAN,"4,4'-diaponeurosporenoate glycosyltransferase",crtQ,,Staphylococcus aureus (strain N315),GO:0005886 (C:plasma membrane); GO:0016757 (F:glycosyltransferase activity); GO:0016117 (P:carotenoid biosynthetic process),2.4.1,IPR001173 (Glyco_trans_2-like); IPR029044 (Nucleotide-diphossugar_trans),PF00535 (Glycos_transf_2)
Q6GDN6,CRTQ_STAAR,"4,4'-diaponeurosporenoate glycosyltransferase",crtQ,,Staphylococcus aureus (strain MRSA252),GO:0005886 (C:plasma membrane); GO:0016757 (F:glycosyltransferase activity); GO:0016117 (P:carotenoid biosynthetic process),2.4.1,IPR001173 (Glyco_trans_2-like); IPR029044 (Nucleotide-diphossugar_trans),PF00535 (Glycos_transf_2)
Q6G6B1,CRTQ_STAAS,"4,4'-diaponeurosporenoate glycosyltransferase",crtQ,,Staphylococcus aureus (strain MSSA476),GO:0005886 (C:plasma membrane); GO:0016757 (F:glycosyltransferase activity); GO:0016117 (P:carotenoid biosynthetic process),2.4.1,IPR001173 (Glyco_trans_2-like); IPR029044 (Nucleotide-diphossugar_trans),PF00535 (Glycos_transf_2)
Q8NUQ4,CRTQ_STAAW,"4,4'-diaponeurosporenoate glycosyltransferase",crtQ,,Staphylococcus aureus (strain MW2),GO:0005886 (C:plasma membrane); GO:0016757 (F:glycosyltransferase activity); GO:0016117 (P:carotenoid biosynthetic process),2.4.1,IPR001173 (Glyco_trans_2-like); IPR029044 (Nucleotide-diphossugar_trans),PF00535 (Glycos_transf_2)
Q4L977,CRTQ_STAHJ,"4,4'-diaponeurosporenoate glycosyltransferase",crtQ,,Staphylococcus haemolyticus (strain JCSC1435),GO:0005886 (C:plasma membrane); GO:0016757 (F:glycosyltransferase activity); GO:0016117 (P:carotenoid biosynthetic process),2.4.1,IPR001173 (Glyco_trans_2-like); IPR029044 (Nucleotide-diphossugar_trans),PF00535 (Glycos_transf_2)
Q52QW3,CRTS1_ONCHC,"Prolycopene isomerase 1, chloroplastic",CRTISO1,,Oncidium hybrid cultivar (Orchid),GO:0031969 (C:chloroplast membrane); GO:0046608 (F:carotenoid isomerase activity); GO:0016491 (F:oxidoreductase activity); GO:0016117 (P:carotenoid biosynthetic process),5.2.1.13,IPR002937 (Amino_oxidase); IPR014101 (CrtISO); IPR045892 (CrtISO-like); IPR036188 (FAD/NAD-bd_sf),PF01593 (Amino_oxidase)
Q52QW2,CRTS2_ONCHC,"Prolycopene isomerase 2, chloroplastic",CRTISO2,,Oncidium hybrid cultivar (Orchid),GO:0031969 (C:chloroplast membrane); GO:0046608 (F:carotenoid isomerase activity); GO:0016491 (F:oxidoreductase activity); GO:0016117 (P:carotenoid biosynthetic process),5.2.1.13,IPR002937 (Amino_oxidase); IPR014101 (CrtISO); IPR045892 (CrtISO-like); IPR036188 (FAD/NAD-bd_sf),PF01593 (Amino_oxidase)
Q9M9Y8,CRTSO_ARATH,"Prolycopene isomerase, chloroplastic",CRTISO,CCR2,Arabidopsis thaliana (Mouse-ear cress),GO:0009507 (C:chloroplast); GO:0031969 (C:chloroplast membrane); GO:0046608 (F:carotenoid isomerase activity); GO:0016491 (F:oxidoreductase activity); GO:0016117 (P:carotenoid biosynthetic process); GO:0009662 (P:etioplast organization),5.2.1.13,IPR002937 (Amino_oxidase); IPR014101 (CrtISO); IPR045892 (CrtISO-like); IPR036188 (FAD/NAD-bd_sf),PF01593 (Amino_oxidase)
Q2VEX9,CRTSO_DAUCA,"Prolycopene isomerase, chloroplastic",CRTISO,,Daucus carota (Wild carrot),GO:0031969 (C:chloroplast membrane); GO:0046608 (F:carotenoid isomerase activity); GO:0016491 (F:oxidoreductase activity); GO:0016117 (P:carotenoid biosynthetic process),5.2.1.13,IPR002937 (Amino_oxidase); IPR014101 (CrtISO); IPR045892 (CrtISO-like); IPR036188 (FAD/NAD-bd_sf),PF01593 (Amino_oxidase)
Q8S4R4,CRTSO_SOLLC,"Prolycopene isomerase, chloroplastic",CRTISO,,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),GO:0031969 (C:chloroplast membrane); GO:0046608 (F:carotenoid isomerase activity); GO:0016491 (F:oxidoreductase activity); GO:0016117 (P:carotenoid biosynthetic process),5.2.1.13,IPR002937 (Amino_oxidase); IPR014101 (CrtISO); IPR045892 (CrtISO-like); IPR036188 (FAD/NAD-bd_sf),PF01593 (Amino_oxidase)
Q8KFK3,CRTU_CHLTE,Carotenoid phi-ring synthase,crtU,,Chlorobaculum tepidum (strain ATCC 49652 / DSM 12025 / NBRC 103806 / TLS) (Chlorobium tepidum),"GO:0051537 (F:2 iron, 2 sulfur cluster binding); GO:0046872 (F:metal ion binding); GO:0016491 (F:oxidoreductase activity)",1.3.99.39,IPR002937 (Amino_oxidase); IPR036188 (FAD/NAD-bd_sf); IPR017941 (Rieske_2Fe-2S); IPR036922 (Rieske_2Fe-2S_sf); IPR050464 (Zeta_carotene_desat/Oxidored),PF01593 (Amino_oxidase); PF13450 (NAD_binding_8); PF00355 (Rieske)
P72449,CRTU_STRGR,Carotenoid phi-ring synthase,crtU,,Streptomyces griseus,GO:0016491 (F:oxidoreductase activity); GO:0016117 (P:carotenoid biosynthetic process),1.3.99.39,IPR002937 (Amino_oxidase); IPR036188 (FAD/NAD-bd_sf); IPR050464 (Zeta_carotene_desat/Oxidored),PF01593 (Amino_oxidase)
B0R753,CRTY_HALS3,Lycopene beta-cyclase,crtY,,Halobacterium salinarum (strain ATCC 29341 / DSM 671 / R1),GO:0005886 (C:plasma membrane); GO:0016872 (F:intramolecular lyase activity); GO:0045436 (F:lycopene beta cyclase activity); GO:0016120 (P:carotene biosynthetic process); GO:0016117 (P:carotenoid biosynthetic process); GO:0042574 (P:retinal metabolic process),5.5.1.19,IPR017825 (Lycopene_cyclase_dom),PF18916 (Lycopene_cyc)
Q9HNE5,CRTY_HALSA,Lycopene beta-cyclase,crtY,,Halobacterium salinarum (strain ATCC 700922 / JCM 11081 / NRC-1) (Halobacterium halobium),GO:0005886 (C:plasma membrane); GO:0046905 (F:15-cis-phytoene synthase activity); GO:0016872 (F:intramolecular lyase activity); GO:0045436 (F:lycopene beta cyclase activity); GO:0016117 (P:carotenoid biosynthetic process),5.5.1.19,IPR017825 (Lycopene_cyclase_dom),PF18916 (Lycopene_cyc)
O07333,CRTY_LIMPL,Phytoene synthase,crtB,pys,Limnospira platensis (Arthrospira platensis),GO:0004311 (F:geranylgeranyl diphosphate synthase activity); GO:0051996 (F:squalene synthase [NAD(P)H] activity); GO:0016117 (P:carotenoid biosynthetic process),2.5.1.32,IPR008949 (Isoprenoid_synthase_dom_sf); IPR054866 (PhytoSynCyanob); IPR002060 (Squ/phyt_synthse); IPR019845 (Squalene/phytoene_synthase_CS); IPR044843 (Trans_IPPS_bact-type); IPR033904 (Trans_IPPS_HH),PF00494 (SQS_PSY)
P21687,CRTY_PANAN,Lycopene beta-cyclase,crtY,,Pantoea ananas (Erwinia uredovora),"GO:0005886 (C:plasma membrane); GO:0045436 (F:lycopene beta cyclase activity); GO:0016705 (F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen); GO:0016117 (P:carotenoid biosynthetic process)",5.5.1.19,IPR008461 (CrtY_pseudo); IPR036188 (FAD/NAD-bd_sf); IPR010108 (Lycopene_cyclase_b/e),PF05834 (Lycopene_cycl)
P54974,CRTY_PARSN,Lycopene beta-cyclase,crtY,,Paracoccus sp. (strain N81106 / MBIC 01143) (Agrobacterium aurantiacum),"GO:0045436 (F:lycopene beta cyclase activity); GO:0016705 (F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen); GO:0016117 (P:carotenoid biosynthetic process)",5.5.1.19,IPR008461 (CrtY_pseudo); IPR036188 (FAD/NAD-bd_sf); IPR010108 (Lycopene_cyclase_b/e),PF05834 (Lycopene_cycl)
Q01331,CRTY_PSEVU,Lycopene beta-cyclase,crtY,,Pseudescherichia vulneris (Escherichia vulneris),"GO:0045436 (F:lycopene beta cyclase activity); GO:0016705 (F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen); GO:0016117 (P:carotenoid biosynthetic process)",5.5.1.19,IPR008461 (CrtY_pseudo); IPR036188 (FAD/NAD-bd_sf); IPR010108 (Lycopene_cyclase_b/e),PF05834 (Lycopene_cycl)
A0A6H0YV38,CRZ7_CLAME,Non-reducing polyketide synthase crz7,crz7,PKS22,Cladonia metacorallifera (Lichen-forming fungus),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0044550 (P:secondary metabolite biosynthetic process),2.3.1,IPR029058 (AB_hydrolase_fold); IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR016036 (Malonyl_transacylase_ACP-bd); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR049551 (PKS_DH_C); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR030918 (PT_fungal_PKS); IPR032088 (SAT); IPR001031 (Thioesterase); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF22621 (CurL-like_PKS_C); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF00550 (PP-binding); PF14765 (PS-DH); PF16073 (SAT); PF00975 (Thioesterase)
A0A2G5IC96,CTB1_CERBT,Non-reducing polyketide synthase CTB1,CTB1,,Cercospora beticola (Sugarbeet leaf spot fungus),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0044550 (P:secondary metabolite biosynthetic process),2.3.1,IPR029058 (AB_hydrolase_fold); IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR030918 (PT_fungal_PKS); IPR032088 (SAT); IPR020802 (TesA-like); IPR001031 (Thioesterase); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF00550 (PP-binding); PF16073 (SAT); PF00975 (Thioesterase)
Q6DQW3,CTB1_CERNC,Non-reducing polyketide synthase CTB1,CTB1,,Cercospora nicotianae (Barn spot disease fungus),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0044550 (P:secondary metabolite biosynthetic process),2.3.1,IPR029058 (AB_hydrolase_fold); IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR016036 (Malonyl_transacylase_ACP-bd); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR030918 (PT_fungal_PKS); IPR032088 (SAT); IPR020802 (TesA-like); IPR001031 (Thioesterase); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF22621 (CurL-like_PKS_C); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF00550 (PP-binding); PF16073 (SAT); PF00975 (Thioesterase)
Q0C9L7,CTVA_ASPTN,Highly reducing polyketide synthase ctvA,ctvA,,Aspergillus terreus (strain NIH 2624 / FGSC A1156),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0008168 (F:methyltransferase activity); GO:0016491 (F:oxidoreductase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0032259 (P:methylation); GO:0044550 (P:secondary metabolite biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR013217 (Methyltransf_12); IPR036291 (NAD(P)-bd_dom_sf); IPR032821 (PKS_assoc); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR020807 (PKS_DH); IPR049551 (PKS_DH_C); IPR049552 (PKS_DH_N); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR006162 (Ppantetheine_attach_site); IPR029063 (SAM-dependent_MTases_sf); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF16197 (KAsynt_C_assoc); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF08242 (Methyltransf_12); PF21089 (PKS_DH_N); PF00550 (PP-binding); PF14765 (PS-DH)
